playerID,awardID,yearID,lgID,tie,notes,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
aaronha01,MVP,1957,NL,NULL,,aaronha01,1954,1,ML1,NL,122,122,468,58,131,27,6,13,69,2,2,28,39,NULL,3,6,4,13,122
abreubo01,"Gold Glove",2005,NL,NULL,OF,abreubo01,1996,1,HOU,NL,15,15,22,1,5,1,0,0,1,0,0,2,3,0,0,0,0,1,15
ageeto01,"Gold Glove",1966,AL,NULL,OF,ageeto01,1962,1,CLE,AL,5,5,14,0,3,0,0,0,2,0,0,0,4,0,0,0,0,0,5
allendi01,MVP,1972,AL,NULL,,allendi01,1963,1,PHI,NL,10,10,24,6,7,2,1,0,2,0,0,0,5,0,0,0,1,2,10
alleyge01,"Gold Glove",1966,NL,NULL,SS,alleyge01,1963,1,PIT,NL,17,17,51,3,11,1,0,0,0,0,1,2,12,0,0,3,0,1,17
alomaro01,"Gold Glove",1991,AL,NULL,2B,alomaro01,1988,1,SDN,NL,143,143,545,84,145,24,6,9,41,24,6,47,83,5,3,16,0,15,143
alomasa02,"Gold Glove",1990,AL,NULL,C,alomasa02,1988,1,SDN,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
amaroru01,"Gold Glove",1964,NL,NULL,SS,amaroru01,1958,1,SLN,NL,40,40,76,8,17,2,1,0,0,0,1,5,8,1,0,1,0,3,40
andujjo01,"Gold Glove",1984,NL,NULL,P,andujjo01,1976,1,HOU,NL,28,28,57,4,8,1,0,0,1,0,0,2,29,0,0,2,0,0,28
aparilu01,"Gold Glove",1958,AL,NULL,SS,aparilu01,1956,1,CHA,AL,152,152,533,69,142,19,6,3,56,21,4,34,63,2,1,14,1,9,152
ausmubr01,"Gold Glove",2001,NL,NULL,C,ausmubr01,1993,1,SDN,NL,49,49,160,18,41,8,1,5,12,2,0,6,28,0,0,0,0,2,49
bagweje01,"Gold Glove",1994,NL,NULL,1B,bagweje01,1991,1,HOU,NL,156,156,554,79,163,26,4,15,82,7,4,75,116,5,13,1,7,12,156
bakerdu01,"Gold Glove",1981,NL,NULL,OF,bakerdu01,1968,1,ATL,NL,6,6,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6
bankser01,MVP,1958,NL,NULL,,bankser01,1953,1,CHN,NL,10,10,35,3,11,1,1,2,6,0,0,4,5,NULL,0,0,NULL,0,10
barfije01,"Gold Glove",1986,AL,NULL,OF,barfije01,1981,1,TOR,AL,25,25,95,7,22,3,2,2,9,4,3,4,19,0,1,0,0,4,25
batteea01,"Gold Glove",1960,AL,NULL,C,batteea01,1955,1,CHA,AL,5,5,7,1,2,0,0,0,0,0,0,1,1,0,1,0,0,1,5
baylodo01,MVP,1979,AL,NULL,,baylodo01,1970,1,BAL,AL,8,8,17,4,4,0,0,0,4,1,1,2,3,0,0,0,1,0,8
beckegl01,"Gold Glove",1968,NL,NULL,2B,beckegl01,1965,1,CHN,NL,154,154,614,73,147,21,3,3,30,6,8,28,52,0,3,6,2,14,154
belanma01,"Gold Glove",1969,AL,NULL,SS,belanma01,1965,1,BAL,AL,11,11,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11
bellbu01,"Gold Glove",1979,AL,NULL,3B,bellbu01,1972,1,CLE,AL,132,132,466,49,119,21,1,9,36,5,6,34,29,8,3,1,1,5,132
bellge02,MVP,1987,AL,NULL,,bellge02,1981,1,TOR,AL,60,60,163,19,38,2,1,5,12,3,2,5,27,1,0,0,0,1,60
