teamID,"World Series Wins","Division Titles","League Wins"
WS1,3,0,3
TOR,5,5,5
TEX,3,3,3
TBA,1,1,1
SLU,0,0,1
SLN,22,10,22
SLA,1,0,1
SL4,4,0,4
SFN,8,7,8
SEA,3,3,3
SDN,5,5,5
PRO,1,0,2
PIT,14,9,16
PHI,12,10,12
PHA,8,0,9
PH4,0,0,1
PH1,0,0,1
OAK,14,14,14
NYN,6,6,6
NYA,45,16,45
NY4,1,0,1
NY1,16,0,17
MON,1,1,1
ML4,2,2,2
ML1,2,0,2
MIN,10,9,10
LS2,1,0,1
LAN,15,11,15
LAA,4,4,4
KCA,7,7,7
IND,0,0,1
HOU,8,8,8
FLO,2,2,2
DTN,1,0,1
DET,12,4,12
COL,1,1,1
CN2,0,0,1
CLE,10,7,10
CIN,12,8,12
CHN,17,5,21
CHF,0,0,1
CHA,9,5,10
CAL,3,3,3
BSP,0,0,1
BSN,2,0,10
BS2,0,0,1
BS1,0,0,4
BRO,10,0,12
BR3,1,0,1
BOS,14,7,15
BLN,0,0,3
BAL,9,8,9
ATL,16,16,16
ARI,4,4,4
ANA,2,2,2
