school ID,Full Name,State,City,Relationship Status, Student Body Total,Residential Accommodations,Faculty Advanced Degrees %, SAT Top 10% Average,SAT Top 30% Average,Religious affiliation, Total International Students,Acceptance Rate - Current,Most Recent Agreement Relationship Age,Enrollment Completion Rate
LAURENS,Laurens Academy,SC,Laurens,Neutral relationship,240,School-run int'l boarding,42%,1950,,None,7,,,
AGS,Atlanta Girls' School,GA,Atlanta,Neutral relationship,221,Family-style boarding and host families through GP,62%,2280,2186,None,4,,,
HARVEY,The Harvey School,NY,Katonah,Neutral relationship,357,On Campus Boarding and Host Family through School,72%,2120,1980,None,6,40.74%,1319,100%
CAMDENCATHOLIC,Camden Catholic High School of Cherry Hill,NJ,Cherry Hill,Neutral relationship,658,On-Campus Boarding,50%,1887,1780,Catholic,51,53.57%,390,78%
FORESTRIDGE,Forest Ridge School Of The Sacred Heart,WA,Bellevue,Neutral relationship,392,On-Campus Boarding,88%,,,Catholic,30,80%,1434,50%
WA,Wisconsin Academy,WI,Columbus,Neutral relationship,85,On-Campus Boarding,,,,7th Day Adventist,5,,,
ASHGC,Academy of the Sacred Heart,LA,Grand Coteau,Neutral relationship,243,On-Campus Boarding,79%,2260,2080,Catholic (Sacred Heart),25,,,
MCI,Maine Central Institute,ME,Pittsfield,Neutral relationship,465,On-Campus Boarding,38%,1757,,None,101,,,
COMMUNITY,Community School,ID,Sun Valley,Neutral relationship,370,Off-Campus Boarding,83%,,,None,12,,,
NORTH,Cardinal Wuerl North Catholic High School,PA,Pittsburgh,Neutral relationship,325,Off-Campus Boarding,90%,1824,1647,Catholic,15,,,
QUIGLEY,Quigley Catholic High School,PA,Baden,Neutral relationship,144,Off-Campus Boarding,63%,2240,2058,Catholic,5,,,
SJBOSCO,St. John Bosco High School,CA,Bellflower,Neutral relationship,800,Off-Campus Boarding,60%,1985,1808,Catholic,15,85.19%,656,60%
AHS,Assumption High School,WI,Wisconsin Rapids,Neutral relationship,186,Host Families through School,31%,,,Catholic,9,,,
ARA,American Renaissance Academy,HI,Kapolei,Neutral relationship,124,Host Families through School,45%,,,None,1,,,
BCHS,Bakersfield Christian High School,CA,Bakersfield,Neutral relationship,483,Host Families through School,47%,,,Christian (Non-Denomo-national),38,57.53%,1569,64%
CONTRACOSTA,Contra Costa Christian School,CA,Walnut Creek,Neutral relationship,240,Host Families through School,33%,2230,2009,Christian (Non-Denomo-national),21,57.89%,52,114%
LUTHERANHS,Lutheran High School,WI,Sheboygan,Neutral relationship,213,Host Families through School,74%,,,Christian (Lutheran),5,,,
MCCHS,McDonell Central Catholic High School,WI,Chippewa Falls,Neutral relationship,210,Host Families through School,35%,,,Catholic,6,,,
MOUNTROYAL,Mount Royal Academy,NH,Sunapee,Neutral relationship,220,Host Families through School,60%,2060,1990,Catholic,4,,,
NOTREDAME,Notre Dame High School,NY,Elmira,Neutral relationship,228,Host Families through School,95%,,,Catholic,6,,,
VAILCS,Vail Christian School,CO,Edwards,Neutral relationship,129,Host Families through School,75%,,,Christian (Non-Denomo-national),4,,,
VALLEYCHS,Valley Christian School,WI,Oshkosh,Neutral relationship,208,Host Families through School,,,1930,Christian (Non-Denomo-national),5,,,
YORK,Christian School of York,PA,York,Neutral relationship,378,Host Families through School,22%,1760,,Christian (Non-Denomo-national),13,100%,68,75%
IOWAMENNONITE,Iowa Mennonite School,IA,Kalona,Neutral relationship,100,Host Families through School,50%,1770,1740,Mennonite,9,100%,223,0%
OAKWOOD,The Oakwood School,NC,Greenville,Neutral relationship,387,Host Families through School,53%,2320,2070,None,5,100%,1435,100%
GREENMEADOW,Green Meadow Waldorf School,NY,Chestnut Ridge,Neutral relationship,369,Host Families through School,55%,2183,2053,None,9,,,
SFIL,St. Francis High School,IL,Wheaton,Neutral relationship,767,Host Families through School,79%,2152,2032,Catholic,9,18.18%,1351,100%
VILLAGE,Village Christian School,CA,Sun Valley,Neutral relationship,1050,Host Families through School,60%,,,Christian (Non-Denomo-national),20,32.26%,496,100%
SFKY,St. Francis School,KY,Louisville,Neutral relationship,445,Host Families through School,95%,,,Episcopal,2,,,
COLUMBUS,Columbus Catholic High School,WI,Marshfield,Neutral relationship,200,Host Families through School,,2260,2190,Catholic,10,,,
