nameFirst,nameLast,yearID,awardID,BattingAVG,rbi,hr
Roger,Clemens,1997,"Triple Crown",0.5000,0,0
Hugh,Duffy,1894,"Triple Crown",0.4397,145,18
Tip,O'Neill,1887,"Triple Crown",0.4352,123,14
Nap,Lajoie,1901,"Triple Crown",0.4265,125,14
Rogers,Hornsby,1925,"Triple Crown",0.4028,143,39
Rogers,Hornsby,1922,"Triple Crown",0.4013,152,42
Ty,Cobb,1909,"Triple Crown",0.3770,107,9
Joe,Medwick,1937,"Triple Crown",0.3744,154,31
Chuck,Klein,1933,"Triple Crown",0.3680,120,28
Lou,Gehrig,1934,"Triple Crown",0.3627,165,49
Paul,Hines,1878,"Triple Crown",0.3580,50,4
Ted,Williams,1942,"Triple Crown",0.3563,137,36
Jimmie,Foxx,1933,"Triple Crown",0.3560,163,48
Mickey,Mantle,1956,"Triple Crown",0.3527,130,52
Ted,Williams,1947,"Triple Crown",0.3428,114,32
Carl,Yastrzemski,1967,"Triple Crown",0.3264,121,44
Bucky,Walters,1939,"Triple Crown",0.3250,16,1
Frank,Robinson,1966,"Triple Crown",0.3160,122,49
Guy,Hecker,1884,"Triple Crown",0.2975,42,4
Walter,Johnson,1924,"Triple Crown",0.2832,14,1
Amos,Rusie,1894,"Triple Crown",0.2796,26,3
Walter,Johnson,1918,"Triple Crown",0.2667,18,1
Walter,Johnson,1913,"Triple Crown",0.2612,14,2
Hal,Newhouser,1945,"Triple Crown",0.2569,17,0
Hippo,Vaughn,1918,"Triple Crown",0.2396,8,0
Pete,Alexander,1916,"Triple Crown",0.2391,9,0
Christy,Mathewson,1905,"Triple Crown",0.2362,16,2
Jake,Peavy,2007,"Triple Crown",0.2329,7,0
Charley,Radbourn,1884,"Triple Crown",0.2299,37,1
Pete,Alexander,1920,"Triple Crown",0.2288,14,1
Tommy,Bond,1877,"Triple Crown",0.2278,30,0
Dwight,Gooden,1985,"Triple Crown",0.2258,9,1
Cy,Young,1901,"Triple Crown",0.2092,17,0
John,Clarkson,1889,"Triple Crown",0.2061,23,2
Lefty,Grove,1930,"Triple Crown",0.2000,17,2
Lefty,Grove,1931,"Triple Crown",0.2000,12,0
Lefty,Gomez,1937,"Triple Crown",0.2000,4,0
Steve,Carlton,1972,"Triple Crown",0.1966,8,1
Sandy,Koufax,1965,"Triple Crown",0.1770,7,0
Rube,Waddell,1905,"Triple Crown",0.1724,10,0
Pete,Alexander,1915,"Triple Crown",0.1692,8,1
Bob,Feller,1940,"Triple Crown",0.1565,12,2
Christy,Mathewson,1908,"Triple Crown",0.1550,11,0
Dazzy,Vance,1924,"Triple Crown",0.1509,11,2
Randy,Johnson,2002,"Triple Crown",0.1348,8,0
Lefty,Gomez,1934,"Triple Crown",0.1313,4,0
Tim,Keefe,1888,"Triple Crown",0.1271,8,2
Sandy,Koufax,1966,"Triple Crown",0.0763,5,0
Sandy,Koufax,1963,"Triple Crown",0.0636,7,1
Roger,Clemens,1998,"Triple Crown",0.0000,0,0
Johan,Santana,2006,"Triple Crown",0.0000,0,0
Pedro,Martinez,1999,"Triple Crown",0.0000,0,0
