playerID,awardID,awd,awardID,awd
aaronha01,MVP,1,"Gold Glove",3
bagweje01,MVP,1,"Gold Glove",1
bankser01,MVP,2,"Gold Glove",1
benchjo01,MVP,2,"Gold Glove",10
bondsba01,MVP,7,"Gold Glove",8
boyerke01,MVP,1,"Gold Glove",5
brettge01,MVP,1,"Gold Glove",1
caminke01,MVP,1,"Gold Glove",3
clemero01,MVP,1,"Gold Glove",12
dawsoan01,MVP,1,"Gold Glove",8
foxne01,MVP,1,"Gold Glove",3
garvest01,MVP,1,"Gold Glove",4
gibsobo01,MVP,1,"Gold Glove",9
griffke02,MVP,1,"Gold Glove",10
henderi01,MVP,1,"Gold Glove",1
hernake01,MVP,1,"Gold Glove",11
howarel01,MVP,1,"Gold Glove",2
jenseja01,MVP,1,"Gold Glove",1
larkiba01,MVP,1,"Gold Glove",3
lynnfr01,MVP,1,"Gold Glove",4
mantlmi01,MVP,3,"Gold Glove",1
marisro01,MVP,2,"Gold Glove",1
mattido01,MVP,1,"Gold Glove",9
mauerjo01,MVP,1,"Gold Glove",2
mayswi01,MVP,2,"Gold Glove",12
mcgeewi01,MVP,1,"Gold Glove",3
morgajo02,MVP,2,"Gold Glove",5
munsoth01,MVP,1,"Gold Glove",3
murphda05,MVP,2,"Gold Glove",5
parkeda01,MVP,1,"Gold Glove",3
pedrodu01,MVP,1,"Gold Glove",1
pendlte01,MVP,1,"Gold Glove",3
pujolal01,MVP,3,"Gold Glove",1
ripkeca01,MVP,2,"Gold Glove",2
robinbr01,MVP,1,"Gold Glove",16
robinfr02,MVP,2,"Gold Glove",1
rodrial01,MVP,3,"Gold Glove",2
rodriiv01,MVP,1,"Gold Glove",13
rolliji01,MVP,1,"Gold Glove",3
rosepe01,MVP,1,"Gold Glove",2
sandbry01,MVP,1,"Gold Glove",9
schmimi01,MVP,3,"Gold Glove",10
shantbo01,MVP,1,"Gold Glove",8
suzukic01,MVP,1,"Gold Glove",9
torrejo01,MVP,1,"Gold Glove",1
versazo01,MVP,1,"Gold Glove",2
walkela01,MVP,1,"Gold Glove",7
willsma01,MVP,1,"Gold Glove",2
yastrca01,MVP,1,"Gold Glove",7
yountro01,MVP,2,"Gold Glove",1
