nameFirst,nameLast,PercentageYearlyAve
Don,Mattingly,96%
Willie,McGee,100%
Roger,Clemens,82%
Mike,Schmidt,512%
George,Bell,270%
Andre,Dawson,161%
Jose,Canseco,72%
Kirk,Gibson,405%
Robin,Yount,227%
Kevin,Mitchell,120%
Rickey,Henderson,459%
Barry,Bonds,166%
Cal,Ripken,287%
Terry,Pendleton,196%
Dennis,Eckersley,301%
Barry,Bonds,458%
Frank,Thomas,114%
Barry,Bonds,462%
Frank,Thomas,262%
Jeff,Bagwell,241%
Mo,Vaughn,288%
Barry,Larkin,611%
Juan,Gonzalez,723%
Ken,Caminiti,319%
Ken,Griffey,646%
Larry,Walker,518%
Juan,Gonzalez,609%
Sammy,Sosa,650%
Ivan,Rodriguez,603%
Chipper,Jones,281%
Jason,Giambi,156%
Jeff,Kent,301%
Ichiro,Suzuki,249%
Barry,Bonds,452%
Miguel,Tejada,152%
Barry,Bonds,627%
Alex,Rodriguez,855%
Barry,Bonds,602%
Vladimir,Guerrero,441%
Barry,Bonds,722%
Alex,Rodriguez,987%
Albert,Pujols,418%
Justin,Morneau,14%
Ryan,Howard,13%
Alex,Rodriguez,772%
Jimmy,Rollins,272%
Dustin,Pedroia,15%
Albert,Pujols,442%
Joe,Mauer,321%
Albert,Pujols,441%
