,date,block_size,block_transactions,blockchain_size,transaction_cost,percent_cost,difficulty,transaction_vol,hash_rate,market_cap,confirmation_time,miners_revenue,deficit,orphaned_blocks,all_transactions,sub10000_transactions,sub10_transactions,sub100_transactions,sub1000_transactions,short_transactions,nonpopular_transactions,unique_addresses,total_bitcoins,total_transactions,transaction_fees,output_vol,trade_transaction_ratio,transaction_fees_usd,exchange_vol_usd,price_usd,trading_day
0,2009-01-03,0.000271797180176,1.0,0.0,0.0,0.0,1.0,0.0,4.97102696296e-05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,2009-01-03
1,2009-01-04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-04
2,2009-01-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-05
3,2009-01-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-06
4,2009-01-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-07
5,2009-01-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-01-08
6,2009-01-09,0.000205039978027,1.0,0.0,0.0,0.0,1.0,0.0,0.000695943774815,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,750.0,15.0,0.0,700.0,0.0,0.0,0.0,0.0,2009-01-09
7,2009-01-10,0.000205039978027,1.0,0.0,0.0,0.0,1.0,0.0,0.00154101835852,0.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,2300.0,46.0,0.0,1550.0,0.0,0.0,0.0,0.0,2009-01-10
8,2009-01-11,0.000205408852055,1.0,0.0,0.0,0.0,1.0,0.0,0.00526928858074,0.0,0.0,0.0,0.0,0.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,7600.0,152.0,0.0,5300.0,0.0,0.0,0.0,0.0,2009-01-11
9,2009-01-12,0.000221477465683,1.0,0.0,0.0,18541.6666667,1.0,24.0,0.00442421399704,0.0,0.0,0.0,0.0,0.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,12050.0,247.0,0.0,4601.0,0.0,0.0,0.0,0.0,2009-01-12
10,2009-01-13,0.000207975636358,1.0,0.0,0.0,57500.0,1.0,10.0,0.00571668100741,0.0,0.0,0.0,0.0,0.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,117.0,17800.0,363.0,0.0,5778.0,0.0,0.0,0.0,0.0,2009-01-13
11,2009-01-14,0.000205887688531,1.0,0.0,0.0,0.0,1.0,0.0,0.00626349397333,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,24100.0,489.0,0.0,6300.0,0.0,0.0,0.0,0.0,2009-01-14
