date,bitcoin
2011-01-02,0
2011-01-03,0
2011-01-04,0
2011-01-05,0
2011-01-06,0
2011-01-07,0
2011-01-08,0
2011-01-09,0
2011-01-10,0
2011-01-11,0
2011-01-12,0
2011-01-13,0
2011-01-14,0
2011-01-15,0
2011-01-16,0
2011-01-17,0
2011-01-18,0
2011-01-19,0
2011-01-20,0
2011-01-21,0
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,0
2011-01-28,0
2011-01-29,0
2011-01-30,0
2011-01-31,0
2011-02-01,0
2011-02-02,0
2011-02-03,0
2011-02-04,0
2011-02-05,0
2011-02-06,1
2011-02-07,1
2011-02-08,1
2011-02-09,1
2011-02-10,1
2011-02-11,1
2011-02-12,1
2011-02-13,1
2011-02-14,1
2011-02-15,1
2011-02-16,1
2011-02-17,1
2011-02-18,1
2011-02-19,1
2011-02-20,1
2011-02-21,1
2011-02-22,1
2011-02-23,1
2011-02-24,1
2011-02-25,1
2011-02-26,1
2011-02-27,1
2011-02-28,1
2011-03-01,1
2011-03-02,1
2011-03-03,1
2011-03-04,1
2011-03-05,1
2011-03-06,0
2011-03-07,0
2011-03-08,0
2011-03-09,0
2011-03-10,0
2011-03-11,0
2011-03-12,0
2011-03-13,0
2011-03-14,0
2011-03-15,0
2011-03-16,0
2011-03-17,0
2011-03-18,0
2011-03-19,0
2011-03-20,1
2011-03-21,1
2011-03-22,1
2011-03-23,1
2011-03-24,1
2011-03-25,1
2011-03-26,1
2011-03-27,1
2011-03-28,1
2011-03-29,1
2011-03-30,1
2011-03-31,1
2011-04-01,1
2011-04-02,1
2011-04-03,1
2011-04-04,1
2011-04-05,1
2011-04-06,1
2011-04-07,1
2011-04-08,1
2011-04-09,1
2011-04-10,1
2011-04-11,1
2011-04-12,1
2011-04-13,1
2011-04-14,1
2011-04-15,1
2011-04-16,1
2011-04-17,1
2011-04-18,1
2011-04-19,1
2011-04-20,1
2011-04-21,1
2011-04-22,1
2011-04-23,1
2011-04-24,2
2011-04-25,2
2011-04-26,2
2011-04-27,2
2011-04-28,2
2011-04-29,2
2011-04-30,2
2011-05-01,1
2011-05-02,1
2011-05-03,1
2011-05-04,1
2011-05-05,1
2011-05-06,1
2011-05-07,1
2011-05-08,2
2011-05-09,2
2011-05-10,2
2011-05-11,2
2011-05-12,2
2011-05-13,2
2011-05-14,2
2011-05-15,8
2011-05-16,8
2011-05-17,8
2011-05-18,8
2011-05-19,8
2011-05-20,8
2011-05-21,8
2011-05-22,7
2011-05-23,7
2011-05-24,7
2011-05-25,7
2011-05-26,7
2011-05-27,7
2011-05-28,7
2011-05-29,11
2011-05-30,11
2011-05-31,11
2011-06-01,11
2011-06-02,11
2011-06-03,11
2011-06-04,11
2011-06-05,15
2011-06-06,15
2011-06-07,15
2011-06-08,15
2011-06-09,15
2011-06-10,15
2011-06-11,15
2011-06-12,18
2011-06-13,18
2011-06-14,18
2011-06-15,18
2011-06-16,18
2011-06-17,18
2011-06-18,18
2011-06-19,15
2011-06-20,15
2011-06-21,15
2011-06-22,15
2011-06-23,15
2011-06-24,15
2011-06-25,15
2011-06-26,9
2011-06-27,9
2011-06-28,9
2011-06-29,9
2011-06-30,9
2011-07-01,9
2011-07-02,9
2011-07-03,8
2011-07-04,8
2011-07-05,8
2011-07-06,8
2011-07-07,8
2011-07-08,8
2011-07-09,8
2011-07-10,6
2011-07-11,6
2011-07-12,6
2011-07-13,6
2011-07-14,6
2011-07-15,6
2011-07-16,6
2011-07-17,6
2011-07-18,6
2011-07-19,6
2011-07-20,6
2011-07-21,6
2011-07-22,6
2011-07-23,6
2011-07-24,5
2011-07-25,5
2011-07-26,5
2011-07-27,5
2011-07-28,5
2011-07-29,5
2011-07-30,5
2011-07-31,6
2011-08-01,6
2011-08-02,6
2011-08-03,6
2011-08-04,6
2011-08-05,6
2011-08-06,6
2011-08-07,6
2011-08-08,6
2011-08-09,6
2011-08-10,6
2011-08-11,6
2011-08-12,6
2011-08-13,6
2011-08-14,6
2011-08-15,6
2011-08-16,6
2011-08-17,6
2011-08-18,6
2011-08-19,6
2011-08-20,6
2011-08-21,5
2011-08-22,5
2011-08-23,5
2011-08-24,5
2011-08-25,5
2011-08-26,5
2011-08-27,5
2011-08-28,4
2011-08-29,4
2011-08-30,4
2011-08-31,4
2011-09-01,4
2011-09-02,4
