,PLAYER,POSITION,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,AST,APG,TO,TOPG,AP48M,AST/TO
0,Stephen Curry,PG,GS,5,32.0,35.8,11.6-20.2,.574,5.6-10.8,.519,7.0-7.4,.946,29,5.8,8,1.6,8.7,3.63
1,Kevin Durant,SF,OKC,6,38.2,29.8,10.2-21.0,.484,2.8-6.7,.425,6.7-7.5,.889,16,2.7,14,2.3,3.4,1.14
2,Blake Griffin,PF,LAC,5,34.6,28.2,11.2-19.0,.589,0.0-0.4,.000,5.8-7.6,.763,20,4.0,10,2.0,5.5,2.00
3,Damian Lillard,PG,POR,6,36.7,27.3,10.0-21.3,.469,3.8-9.0,.426,3.5-4.0,.875,40,6.7,24,4.0,8.7,1.67
4,Russell Westbrook,PG,OKC,6,36.0,27.2,10.2-21.2,.480,1.8-5.3,.344,5.0-5.8,.857,63,10.5,32,5.3,14.0,1.97
5,Bradley Beal,SG,WSH,4,35.3,25.3,9.5-20.0,.475,3.3-7.0,.464,3.0-4.0,.750,7,1.8,11,2.8,2.4,0.64
6,James Harden,SG,HOU,5,39.0,23.8,6.0-20.4,.294,1.8-11.0,.164,10.0-11.8,.847,25,5.0,21,4.2,6.2,1.19
7,Isaiah Thomas,PG,BOS,4,30.3,23.5,7.5-18.0,.417,1.8-5.5,.318,6.8-7.3,.931,26,6.5,13,3.3,10.3,2.00
8,LeBron James,SF,CLE,5,33.8,22.2,9.4-19.2,.490,0.4-3.6,.111,3.0-5.4,.556,28,5.6,14,2.8,8.0,2.00
9,Dwyane Wade,SG,MIA,5,30.2,22.2,8.0-16.2,.494,1.0-2.0,.500,5.2-6.2,.839,21,4.2,15,3.0,6.7,1.40
10,DeMar DeRozan,SG,TOR,5,35.0,22.2,6.4-15.2,.421,0.4-1.4,.286,9.0-11.0,.818,21,4.2,12,2.4,5.8,1.75
11,C.J. McCollum,SG,POR,6,34.3,22.2,8.5-18.0,.472,3.0-6.5,.462,2.2-2.7,.813,21,3.5,11,1.8,4.9,1.91
12,DeMarcus Cousins,PF,SAC,3,26.0,22.0,7.0-16.7,.420,1.3-3.3,.400,6.7-9.0,.741,7,2.3,10,3.3,4.3,0.70
13,Carmelo Anthony,SF,NY,5,33.8,21.8,7.0-19.2,.365,1.6-5.0,.320,6.2-7.0,.886,18,3.6,7,1.4,5.1,2.57
14,Jimmy Butler,SG,CHI,6,36.0,21.7,7.0-15.0,.467,2.0-3.5,.571,5.7-6.8,.829,16,2.7,2,0.3,3.6,8.00
15,Kawhi Leonard,SF,SA,5,33.2,21.6,9.0-18.8,.479,0.8-3.2,.250,2.8-2.8,1.000,,,,,,
16,Giannis Antetokounmpo,SF,MIL,4,37.5,21.3,8.0-13.5,.593,1.0-2.0,.500,4.3-5.3,.810,10,2.5,13,3.3,3.2,0.77
17,John Wall,PG,WSH,4,36.0,20.8,6.8-15.3,.443,1.5-4.8,.316,5.8-8.0,.719,33,8.3,15,3.8,11.0,2.20
18,Anthony Davis,PF,NO,4,37.3,20.8,6.3-16.5,.379,1.0-2.8,.364,7.3-10.0,.725,7,1.8,12,3.0,2.3,0.58
19,Eric Bledsoe,PG,PHX,5,33.4,20.6,7.2-16.8,.429,1.0-3.6,.278,5.2-6.8,.765,28,5.6,14,2.8,8.0,2.00
20,Evan Fournier,SF,ORL,5,39.0,20.6,8.0-16.8,.476,2.2-6.4,.344,2.4-3.4,.706,14,2.8,7,1.4,3.4,2.00
21,Andre Drummond,C,DET,4,39.0,20.3,7.8-15.8,.492,0.0-0.0,.000,4.8-8.3,.576,,,,,,
22,Jahlil Okafor,C,PHI,4,34.0,20.3,8.5-15.5,.548,0.0-0.0,.000,3.3-4.0,.813,,,,,,
23,Brook Lopez,C,BKN,5,32.8,20.0,7.4-13.0,.569,0.0-0.2,.000,5.2-6.6,.788,10,2.0,11,2.2,2.9,0.91
24,Greg Monroe,C,MIL,5,34.8,19.8,7.8-13.2,.591,0.0-0.0,.000,4.2-5.2,.808,17,3.4,8,1.6,4.7,2.13
25,Kyle Lowry,PG,TOR,5,34.6,19.2,6.0-13.4,.448,2.0-4.6,.435,5.2-6.2,.839,33,6.6,18,3.6,9.2,1.83
26,Jeff Teague,PG,ATL,6,31.7,19.2,6.5-14.0,.464,0.8-2.8,.294,5.3-6.2,.865,35,5.8,17,2.8,8.8,2.06
27,Reggie Jackson,PG,DET,4,33.8,19.0,7.0-17.0,.412,1.5-3.8,.400,3.5-4.5,.778,22,5.5,17,4.3,7.8,1.29
28,Kevin Martin,SG,MIN,4,28.0,18.8,5.3-11.5,.457,0.8-3.3,.231,7.5-8.8,.857,,,,,,
29,Paul George,SF,IND,5,34.8,18.6,5.6-15.6,.359,1.8-6.2,.290,5.6-6.4,.875,23,4.6,16,3.2,6.3,1.44
30,Jordan Clarkson,PG,LAL,4,31.3,18.3,7.3-13.0,.558,1.8-3.8,.467,2.0-2.8,.727,8,2.0,5,1.3,3.1,1.60
31,Al Horford,PF,ATL,6,32.3,18.0,7.7-14.2,.541,1.0-3.2,.316,1.7-2.0,.833,15,2.5,10,1.7,3.7,1.50
32,Brandon Knight,PG,PHX,5,35.0,17.8,6.8-16.4,.415,2.2-6.4,.344,2.0-2.2,.909,27,5.4,14,2.8,7.4,1.93
33,Danilo Gallinari,SF,DEN,5,33.6,17.4,5.2-13.0,.400,1.0-3.0,.333,6.0-7.0,.857,8,1.6,2,0.4,2.3,4.00
34,Marcus Morris,PF,DET,4,38.3,17.3,6.0-13.8,.436,1.3-3.3,.385,4.0-5.5,.727,7,1.8,8,2.0,2.2,0.88
35,Chris Paul,PG,LAC,5,32.2,17.0,6.0-13.0,.462,1.0-3.6,.278,4.0-5.0,.800,41,8.2,14,2.8,12.2,2.93
36,Kevin Love,PF,CLE,5,31.6,17.0,6.0-14.6,.411,2.0-6.2,.323,3.0-3.2,.938,15,3.0,8,1.6,4.6,1.88
37,Marcus Thornton,SG,HOU,3,32.3,17.0,7.0-14.7,.477,3.0-6.7,.450,0.0-0.0,.000,6,2.0,4,1.3,3.0,1.50
38,Dirk Nowitzki,PF,DAL,5,27.8,16.8,6.2-12.0,.517,1.6-3.2,.500,2.8-2.8,1.000,8,1.6,3,0.6,2.8,2.67
39,Rudy Gay,SF,SAC,5,31.2,16.6,6.8-16.2,.420,1.2-3.2,.375,1.8-2.4,.750,14,2.8,8,1.6,4.3,1.75
40,Louis Williams,SG,LAL,4,28.5,16.5,4.3-11.3,.378,1.3-5.8,.217,6.8-7.5,.900,9,2.3,6,1.5,3.8,1.50
41,Al Jefferson,C,CHA,5,25.8,16.4,8.0-14.2,.563,0.0-0.0,.000,0.4-0.8,.500,6,1.2,3,0.6,2.2,2.00
42,Tobias Harris,SF,ORL,5,30.0,16.2,6.2-13.6,.456,0.8-2.8,.286,3.0-4.0,.750,12,2.4,13,2.6,3.8,0.92
43,Victor Oladipo,SG,ORL,5,41.0,16.2,6.2-16.8,.369,1.6-6.4,.250,2.2-2.4,.917,23,4.6,9,1.8,5.4,2.56
44,Eric Gordon,SG,NO,4,34.3,16.0,5.5-15.0,.367,2.5-7.5,.333,2.5-3.3,.769,13,3.3,9,2.3,4.6,1.44
45,Dwight Howard,C,HOU,3,29.3,16.0,6.7-11.3,.588,0.0-0.0,.000,2.7-5.3,.500,4,1.3,8,2.7,2.2,0.50
46,Jrue Holiday,PG,NO,3,23.7,16.0,5.7-15.3,.370,1.3-3.7,.364,3.3-4.0,.833,13,4.3,9,3.0,8.8,1.44
47,Jonas Valanciunas,C,TOR,5,29.4,15.8,5.8-9.6,.604,0.0-0.0,.000,4.2-5.2,.808,,,,,,
48,Nikola Vucevic,C,ORL,5,31.8,15.8,6.8-13.2,.515,0.0-0.0,.000,2.2-2.6,.846,10,2.0,10,2.0,3.0,1.00
49,Kobe Bryant,SF,LAL,4,28.0,15.8,5.0-15.5,.323,1.8-8.5,.206,4.0-4.5,.889,10,2.5,5,1.3,4.3,2.00
50,Ryan Anderson,PF,NO,4,31.0,15.8,5.8-14.5,.397,2.3-5.8,.391,2.0-2.8,.727,,,,,,
51,George Hill,PG,IND,5,36.8,15.6,4.8-11.2,.429,2.8-6.0,.467,3.2-4.4,.727,17,3.4,17,3.4,4.4,1.00
52,Mo Williams,PG,CLE,5,30.0,15.4,5.6-12.4,.452,2.0-5.6,.357,2.2-2.4,.917,22,4.4,7,1.4,7.0,3.14
53,Ricky Rubio,PG,MIN,4,29.8,15.3,4.5-10.3,.439,0.5-2.0,.250,5.8-6.3,.920,36,9.0,7,1.8,14.5,5.14
54,Derrick Favors,PF,UTAH,5,27.0,15.2,6.0-12.4,.484,0.0-0.0,.000,3.2-5.0,.640,,,,,,
55,Alec Burks,SG,UTAH,5,27.4,15.2,5.2-12.0,.433,0.4-1.0,.400,4.4-5.6,.786,11,2.2,7,1.4,3.9,1.57
56,Kemba Walker,PG,CHA,5,31.2,15.2,4.8-12.6,.381,1.2-3.8,.316,4.4-5.0,.880,28,5.6,8,1.6,8.6,3.50
57,Gordon Hayward,SF,UTAH,5,33.4,15.0,5.2-13.4,.388,1.2-3.6,.333,3.4-4.6,.739,11,2.2,10,2.0,3.2,1.10
58,Hassan Whiteside,C,MIA,5,30.2,15.0,6.8-9.4,.723,0.0-0.0,.000,1.4-2.2,.636,,,,,,
