playerID,awardID,yearID,lgID,tie,notes,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
robinfr02,"Triple Crown",1966,AL,NULL,,robinfr02,1962,1,CIN,NL,162,162,609,134,208,51,2,39,136,18,9,76,62,16,11,0,5,13,162
yastrca01,"Triple Crown",1967,AL,NULL,,yastrca01,1969,1,BOS,AL,162,162,603,96,154,28,2,40,111,15,7,101,91,9,1,0,2,14,162
yastrca01,"Triple Crown",1967,AL,NULL,,yastrca01,1967,1,BOS,AL,161,161,579,112,189,31,4,44,121,10,8,91,69,11,4,1,5,5,161
yastrca01,"Triple Crown",1967,AL,NULL,,yastrca01,1970,1,BOS,AL,161,161,566,125,186,29,0,40,102,23,13,128,66,12,1,0,2,12,161
yastrca01,"Triple Crown",1967,AL,NULL,,yastrca01,1962,1,BOS,AL,160,160,646,99,191,43,6,19,94,7,4,66,82,7,3,2,2,27,160
yastrca01,"Triple Crown",1967,AL,NULL,,yastrca01,1966,1,BOS,AL,160,160,594,81,165,39,2,16,80,8,9,84,60,10,1,0,1,17,160
lajoina01,"Triple Crown",1901,AL,NULL,,lajoina01,1910,1,CLE,AL,159,159,591,94,227,51,7,4,76,26,NULL,60,NULL,NULL,5,21,NULL,NULL,159
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1937,1,NYA,AL,157,157,569,138,200,37,9,37,159,4,3,127,49,NULL,4,0,NULL,NULL,157
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1938,1,NYA,AL,157,157,576,115,170,32,6,29,114,6,1,107,75,NULL,5,1,NULL,NULL,157
yastrca01,"Triple Crown",1967,AL,NULL,,yastrca01,1968,1,BOS,AL,157,157,539,90,162,32,2,23,74,13,6,119,90,13,2,0,4,12,157
lajoina01,"Triple Crown",1901,AL,NULL,,lajoina01,1908,1,CLE,AL,157,157,581,77,168,32,6,2,74,15,NULL,47,NULL,NULL,9,30,NULL,NULL,157
kleinch01,"Triple Crown",1933,NL,NULL,,kleinch01,1930,1,PHI,NL,156,156,648,158,250,59,8,40,170,4,NULL,54,50,NULL,4,13,NULL,NULL,156
medwijo01,"Triple Crown",1937,NL,NULL,,medwijo01,1937,1,SLN,NL,156,156,633,111,237,56,10,31,154,4,NULL,41,50,NULL,2,1,NULL,11,156
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1932,1,NYA,AL,156,156,596,138,208,42,9,34,151,4,11,108,38,NULL,3,1,NULL,NULL,156
hornsro01,"Triple Crown",1925,NL,NULL,,hornsro01,1929,1,CHN,NL,156,156,602,156,229,47,8,39,149,2,NULL,87,65,NULL,1,22,NULL,NULL,156
hornsro01,"Triple Crown",1922,NL,NULL,,hornsro01,1929,1,CHN,NL,156,156,602,156,229,47,8,39,149,2,NULL,87,65,NULL,1,22,NULL,NULL,156
willite01,"Triple Crown",1942,AL,NULL,,willite01,1947,1,BOS,AL,156,156,528,125,181,40,9,32,114,0,1,162,47,NULL,2,1,NULL,10,156
willite01,"Triple Crown",1947,AL,NULL,,willite01,1947,1,BOS,AL,156,156,528,125,181,40,9,32,114,0,1,162,47,NULL,2,1,NULL,10,156
robinfr02,"Triple Crown",1966,AL,NULL,,robinfr02,1965,1,CIN,NL,156,156,582,109,172,33,5,33,113,13,9,70,100,18,18,0,4,14,156
cobbty01,"Triple Crown",1909,AL,NULL,,cobbty01,1909,1,DET,AL,156,156,573,116,216,33,10,9,107,76,NULL,48,NULL,NULL,6,24,NULL,NULL,156
cobbty01,"Triple Crown",1909,AL,NULL,,cobbty01,1915,1,DET,AL,156,156,563,144,208,31,13,3,99,96,38,118,43,NULL,10,9,NULL,NULL,156
robinfr02,"Triple Crown",1966,AL,NULL,,robinfr02,1964,1,CIN,NL,156,156,568,103,174,38,6,29,96,23,5,79,67,20,9,0,6,13,156
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1931,1,NYA,AL,155,155,619,163,211,31,15,46,184,17,12,117,56,NULL,0,2,NULL,NULL,155
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1927,1,NYA,AL,155,155,584,149,218,52,18,47,175,10,8,109,84,NULL,3,21,NULL,NULL,155
willite01,"Triple Crown",1947,AL,NULL,,willite01,1949,1,BOS,AL,155,155,566,150,194,39,3,43,159,1,1,162,48,NULL,2,0,NULL,22,155
willite01,"Triple Crown",1942,AL,NULL,,willite01,1949,1,BOS,AL,155,155,566,150,194,39,3,43,159,1,1,162,48,NULL,2,0,NULL,22,155
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1936,1,NYA,AL,155,155,579,167,205,37,7,49,152,3,4,130,46,NULL,7,3,NULL,NULL,155
foxxji01,"Triple Crown",1933,AL,NULL,,foxxji01,1936,1,BOS,AL,155,155,585,130,198,32,8,41,143,13,4,105,119,NULL,1,2,NULL,NULL,155
medwijo01,"Triple Crown",1937,NL,NULL,,medwijo01,1936,1,SLN,NL,155,155,636,115,223,64,13,18,138,3,NULL,34,33,NULL,4,3,NULL,14,155
hornsro01,"Triple Crown",1922,NL,NULL,,hornsro01,1927,1,NY1,NL,155,155,568,133,205,32,9,26,125,9,NULL,86,38,NULL,4,26,NULL,NULL,155
hornsro01,"Triple Crown",1925,NL,NULL,,hornsro01,1927,1,NY1,NL,155,155,568,133,205,32,9,26,125,9,NULL,86,38,NULL,4,26,NULL,NULL,155
robinfr02,"Triple Crown",1966,AL,NULL,,robinfr02,1966,1,BAL,AL,155,155,576,122,182,34,2,49,122,8,5,87,90,11,10,0,7,24,155
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1926,1,NYA,AL,155,155,572,135,179,47,20,16,112,6,5,105,73,NULL,1,18,NULL,NULL,155
yastrca01,"Triple Crown",1967,AL,NULL,,yastrca01,1976,1,BOS,AL,155,155,546,71,146,23,2,21,102,5,6,80,67,6,1,1,8,12,155
cobbty01,"Triple Crown",1909,AL,NULL,,cobbty01,1924,1,DET,AL,155,155,625,115,211,38,10,4,78,23,14,85,18,NULL,1,15,NULL,NULL,155
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1930,1,NYA,AL,154,154,581,143,220,42,17,41,174,12,14,101,63,NULL,3,18,NULL,NULL,154
foxxji01,"Triple Crown",1933,AL,NULL,,foxxji01,1932,1,PHA,AL,154,154,585,151,213,33,9,58,169,3,7,116,96,NULL,0,0,NULL,NULL,154
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1934,1,NYA,AL,154,154,579,128,210,40,6,49,165,9,5,109,31,NULL,2,0,NULL,NULL,154
hornsro01,"Triple Crown",1922,NL,NULL,,hornsro01,1922,1,SLN,NL,154,154,623,141,250,46,14,42,152,17,12,65,50,NULL,1,15,NULL,NULL,154
hornsro01,"Triple Crown",1925,NL,NULL,,hornsro01,1922,1,SLN,NL,154,154,623,141,250,46,14,42,152,17,12,65,50,NULL,1,15,NULL,NULL,154
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1928,1,NYA,AL,154,154,562,139,210,47,13,27,142,4,11,95,69,NULL,4,16,NULL,NULL,154
kleinch01,"Triple Crown",1933,NL,NULL,,kleinch01,1932,1,PHI,NL,154,154,650,152,226,50,15,38,137,20,NULL,60,49,NULL,1,0,NULL,NULL,154
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1929,1,NYA,AL,154,154,553,127,166,32,10,35,126,4,4,122,68,NULL,5,12,NULL,NULL,154
