teamID,SUM(WSWin),SUM(DivWin),SUM(LgWin)
ALT,NULL,NULL,2
ANA,15,15,15
ARI,23,20,23
ATL,85,64,81
BAL,107,72,104
BFN,4,NULL,14
BFP,NULL,NULL,2
BL1,NULL,NULL,6
BL2,12,NULL,16
BL3,2,NULL,4
BL4,NULL,NULL,2
BLA,NULL,NULL,4
BLF,NULL,NULL,4
BLN,NULL,NULL,13
BLU,NULL,NULL,2
BOS,203,74,204
BR1,NULL,NULL,2
BR2,NULL,NULL,8
BR3,12,NULL,11
BR4,2,NULL,2
BRF,NULL,NULL,4
BRO,109,NULL,124
BRP,NULL,NULL,2
BS1,NULL,NULL,6
BS2,NULL,NULL,1
BSN,111,NULL,144
BSP,NULL,NULL,1
BSU,NULL,NULL,2
BUF,NULL,NULL,4
CAL,62,51,62
CH1,NULL,NULL,2
CH2,NULL,NULL,4
CHA,207,75,210
CHF,NULL,NULL,3
CHN,222,75,250
CHP,NULL,NULL,2
CHU,NULL,NULL,2
CIN,207,72,229
CL1,NULL,NULL,4
CL2,2,NULL,12
CL3,4,NULL,4
CL4,4,NULL,22
CL5,2,NULL,4
CL6,4,NULL,6
CLE,208,73,211
CLP,NULL,NULL,2
CN1,NULL,NULL,10
CN2,12,NULL,15
CN3,NULL,NULL,2
CNU,NULL,NULL,2
