nameFirst,nameLast,awardID,yearID,Batting_Avg,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
Roger,Clemens,"Triple Crown",1997,1000,clemero02,1997,1,TOR,AL,34,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Tip,O'Neill,"Triple Crown",1887,600,oneilti01,1887,1,SL4,AA,124,124,517,167,225,52,19,14,123,30,NULL,50,NULL,NULL,5,NULL,NULL,NULL,124
Hugh,Duffy,"Triple Crown",1894,597,duffyhu01,1894,1,BSN,NL,125,125,539,160,237,51,16,18,145,48,NULL,66,15,NULL,1,NULL,NULL,NULL,125
Rogers,Hornsby,"Triple Crown",1925,581,hornsro01,1925,1,SLN,NL,138,138,504,133,203,41,10,39,143,5,3,83,39,NULL,2,16,NULL,NULL,138
Nap,Lajoie,"Triple Crown",1901,566,lajoina01,1901,1,PHA,AL,131,131,544,145,232,48,14,14,125,27,NULL,24,NULL,NULL,13,1,NULL,NULL,131
Rogers,Hornsby,"Triple Crown",1922,565,hornsro01,1922,1,SLN,NL,154,154,623,141,250,46,14,42,152,17,12,65,50,NULL,1,15,NULL,NULL,154
Joe,Medwick,"Triple Crown",1937,528,medwijo01,1937,1,SLN,NL,156,156,633,111,237,56,10,31,154,4,NULL,41,50,NULL,2,1,NULL,11,156
Lou,Gehrig,"Triple Crown",1934,527,gehrilo01,1934,1,NYA,AL,154,154,579,128,210,40,6,49,165,9,5,109,31,NULL,2,0,NULL,NULL,154
Jimmie,Foxx,"Triple Crown",1933,520,foxxji01,1933,1,PHA,AL,149,149,573,125,204,37,9,48,163,2,2,96,93,NULL,1,0,NULL,NULL,149
Mickey,Mantle,"Triple Crown",1956,501,mantlmi01,1956,1,NYA,AL,150,150,533,132,188,22,5,52,130,10,1,112,99,6,2,1,4,4,150
Ted,Williams,"Triple Crown",1942,500,willite01,1942,1,BOS,AL,150,150,522,141,186,34,5,36,137,3,2,145,51,NULL,4,0,NULL,12,150
Chuck,Klein,"Triple Crown",1933,498,kleinch01,1933,1,PHI,NL,152,152,606,101,223,44,7,28,120,15,NULL,56,36,NULL,1,4,NULL,3,152
Ted,Williams,"Triple Crown",1947,496,willite01,1947,1,BOS,AL,156,156,528,125,181,40,9,32,114,0,1,162,47,NULL,2,1,NULL,10,156
Ty,Cobb,"Triple Crown",1909,468,cobbty01,1909,1,DET,AL,156,156,573,116,216,33,10,9,107,76,NULL,48,NULL,NULL,6,24,NULL,NULL,156
Frank,Robinson,"Triple Crown",1966,464,robinfr02,1966,1,BAL,AL,155,155,576,122,182,34,2,49,122,8,5,87,90,11,10,0,7,24,155
Carl,Yastrzemski,"Triple Crown",1967,463,yastrca01,1967,1,BOS,AL,161,161,579,112,189,31,4,44,121,10,8,91,69,11,4,1,5,5,161
Paul,Hines,"Triple Crown",1878,440,hinespa01,1878,1,PRO,NL,62,62,257,42,92,13,4,4,50,NULL,NULL,2,10,NULL,NULL,NULL,NULL,NULL,62
Bucky,Walters,"Triple Crown",1939,408,waltebu01,1939,1,CIN,NL,40,40,120,16,39,8,1,1,16,1,NULL,5,12,NULL,1,5,NULL,2,40
Guy,Hecker,"Triple Crown",1884,380,heckegu01,1884,1,LS2,AA,78,78,316,53,94,14,8,4,42,0,NULL,10,NULL,NULL,2,NULL,NULL,NULL,78
Walter,Johnson,"Triple Crown",1924,372,johnswa01,1924,1,WS1,AL,39,39,113,18,32,9,0,1,14,0,0,3,11,NULL,1,2,NULL,NULL,39
Walter,Johnson,"Triple Crown",1913,358,johnswa01,1913,1,WS1,AL,54,54,134,12,35,5,6,2,14,2,NULL,5,14,NULL,1,1,NULL,NULL,54
Amos,Rusie,"Triple Crown",1894,344,rusieam01,1894,1,NY1,NL,56,56,186,20,52,5,4,3,26,5,NULL,5,24,NULL,1,NULL,NULL,NULL,56
Walter,Johnson,"Triple Crown",1918,327,johnswa01,1918,1,WS1,AL,65,65,150,10,40,4,4,1,18,2,NULL,9,18,NULL,3,4,NULL,NULL,65
Pete,Alexander,"Triple Crown",1916,319,alexape01,1916,1,PHI,NL,49,49,138,10,33,7,4,0,9,1,NULL,5,15,NULL,0,3,NULL,NULL,49
Hal,Newhouser,"Triple Crown",1945,312,newhoha01,1945,1,DET,AL,40,40,109,9,28,5,1,0,17,0,1,7,10,NULL,0,8,NULL,1,40
Jake,Peavy,"Triple Crown",2007,301,peavyja01,2007,1,SDN,NL,37,36,73,8,17,4,1,0,7,0,0,2,14,0,0,8,1,1,36
Hippo,Vaughn,"Triple Crown",1918,292,vaughhi01,1918,1,CHN,NL,35,35,96,13,23,3,2,0,8,4,NULL,6,21,NULL,0,4,NULL,NULL,35
Christy,Mathewson,"Triple Crown",1905,291,mathech01,1905,1,NY1,NL,44,44,127,13,30,5,0,2,16,2,NULL,10,NULL,NULL,3,1,NULL,NULL,44
Pete,Alexander,"Triple Crown",1920,280,alexape01,1920,1,CHN,NL,46,46,118,9,27,4,1,1,14,0,0,11,26,NULL,0,6,NULL,NULL,46
Lefty,Grove,"Triple Crown",1930,264,grovele01,1930,1,PHA,AL,50,50,110,11,22,3,2,2,17,0,0,7,46,NULL,0,4,NULL,NULL,50
John,Clarkson,"Triple Crown",1889,260,clarkjo01,1889,1,BSN,NL,73,73,262,36,54,9,3,2,23,8,NULL,11,59,NULL,0,NULL,NULL,NULL,73
Dwight,Gooden,"Triple Crown",1985,258,goodedw01,1985,1,NYN,NL,35,35,93,11,21,2,0,1,9,0,0,5,15,0,0,9,0,1,35
Charley,Radbourn,"Triple Crown",1884,255,radboch01,1884,1,PRO,NL,87,87,361,48,83,7,1,1,37,NULL,NULL,26,42,NULL,NULL,NULL,NULL,NULL,87
Tommy,Bond,"Triple Crown",1877,255,bondto01,1877,1,BSN,NL,61,61,259,32,59,4,3,0,30,NULL,NULL,1,15,NULL,NULL,NULL,NULL,NULL,61
Cy,Young,"Triple Crown",1901,255,youngcy01,1901,1,BOS,AL,45,45,153,20,32,2,5,0,17,1,NULL,6,NULL,NULL,1,3,NULL,NULL,45
Steve,Carlton,"Triple Crown",1972,239,carltst01,1972,1,PHI,NL,41,41,117,6,23,3,1,1,8,0,0,5,31,0,1,7,0,0,41
Bob,Feller,"Triple Crown",1940,226,fellebo01,1940,1,CLE,AL,43,43,115,7,18,5,1,2,12,0,0,8,45,NULL,0,6,NULL,1,43
Lefty,Grove,"Triple Crown",1931,226,grovele01,1931,1,PHA,AL,41,41,115,8,23,3,0,0,12,0,0,3,48,NULL,0,4,NULL,NULL,41
