name,WSWins,ALCS_Wins,NLCS_Wins,AL_Division_Wins,NL_Divison_Wins
"New York Yankees",27,11,0,3,0
"St. Louis Cardinals",10,0,5,0,3
"New York Giants",7,0,0,0,0
"Boston Americans",7,4,0,4,0
"Philadelphia Athletics",5,0,0,0,0
"Cincinnati Reds",5,0,5,0,0
"Los Angeles Dodgers",5,0,5,0,2
"Pittsburgh Pirates",5,0,2,0,0
"Oakland Athletics",4,6,0,0,0
"Detroit Tigers",4,2,0,1,0
"Baltimore Orioles",3,5,0,1,0
"Chicago White Stockings",3,0,0,0,0
"Chicago White Sox",3,1,0,1,0
"Toronto Blue Jays",2,2,0,0,0
"Brooklyn Bridegrooms",2,0,0,0,0
"Cleveland Indians",2,2,0,3,0
"New York Mets",2,0,4,0,1
"Minnesota Twins",2,2,0,0,0
"Florida Marlins",2,0,2,0,2
"Philadelphia Phillies",2,0,5,0,0
"Washington Senators",1,0,0,0,0
"Detroit Wolverines",1,0,0,0,0
"Milwaukee Braves",1,0,0,0,0
"Arizona Diamondbacks",1,0,1,0,1
"Boston Beaneaters",1,0,0,0,0
"Kansas City Royals",1,2,0,0,0
"Atlanta Braves",1,0,5,0,5
"St. Louis Browns",1,0,0,0,0
"Anaheim Angels",1,1,0,1,0
"Providence Grays",1,0,0,0,0
"Colorado Rockies",0,0,1,0,0
"San Francisco Giants",0,0,2,0,1
"Houston Astros",0,0,1,0,0
"San Diego Padres",0,0,2,0,0
"Montreal Expos",0,0,0,0,0
"Seattle Mariners",0,0,0,1,0
"Tampa Bay Rays",0,1,0,0,0
"Los Angeles Angels of Anaheim",0,0,0,0,0
"Milwaukee Brewers",0,1,0,0,0
