id,type,parentid
0B1qO9IFXquq6ckhsRjVLZWZNanZ6NFY4c25Xa2VhNUdLSG1B,file,0AFqO9IFXquq6Uk9PVA
11UYmHOL34uCEZRPWeZmiYjVYxg7Iz9ztZ7nxxdiaJkg,spreadsheet,0AFqO9IFXquq6Uk9PVA
1TDygcRbolo8OE6HuqHrRjTtAAe-n33LMCD5r0CMVqxA,document,0B1qO9IFXquq6N2hEZml6VlNRX1E
1dBqIYte64dtaJE8amchbsxcPKvYrXXEfX83udk5NBTQ,spreadsheet,0B1qO9IFXquq6N2hEZml6VlNRX1E
1G2iBF6htVGh0fJuuGQaOE48lUi-DRTxPSApqQ2W5n6I,presentation,0B1qO9IFXquq6N2hEZml6VlNRX1E
17IitS_XyyXmIoAiIFqy-i9ZaIiADkJX_-S94NDP2yew,spreadsheet,0B1qO9IFXquq6N2hEZml6VlNRX1E
1OzvfuNkw0AqgUZueA6R8ENHfwC3ZU045zMrIrTLK1ao,spreadsheet,0B1qO9IFXquq6MkpxbDZfWVA4Rms
1c0RWzfRDQg1FSZH6u-sShIWI2pZGD6PV0xjxY-1U2eg,document,0B1qO9IFXquq6MkpxbDZfWVA4Rms
0B1qO9IFXquq6MkpxbDZfWVA4Rms,folder,0AFqO9IFXquq6Uk9PVA
12F7b_vLbMctuH87JXNdvVxOFVDu-o9Ij6JsTQVApuYI,drawing,0AFqO9IFXquq6Uk9PVA
0B8DeJlPl0N1sVnlKWmZRQ2s3YlU,folder,0AFqO9IFXquq6Uk9PVA
1GaWuyaftX3Uz1XJKc_SEQbo6hcMMAOrzuGfrSxSa9e8,spreadsheet,0B1qO9IFXquq6MkpxbDZfWVA4Rms
1NQ4asFhmDZhwPu2JdYwodAlwG0LI1tW0FNqhNe_0RNc,document,0B1qO9IFXquq6N2hEZml6VlNRX1E
1ZR-JxsBX_Aytl_LOo-3MPiols37ilXUC47jhDd2qN30,document,0B1qO9IFXquq6N2hEZml6VlNRX1E
1eBLoPttUdSj1_ysyEjXrgGdMKGXNW-1Ur5Lhti2Nf3Y,document,0B1qO9IFXquq6N2hEZml6VlNRX1E
1Ubeds80DnXplpDpYmglBm6pJN4eVzz-QxLaLhgKLEoU,document,0B1qO9IFXquq6N2hEZml6VlNRX1E
0B1qO9IFXquq6QUNuRllDRC10OUU,file,0B1qO9IFXquq6cjR3cHhuWFQ5QTg
0B1qO9IFXquq6cjR3cHhuWFQ5QTg,folder,0AFqO9IFXquq6Uk9PVA
1MJTkLFQERPw6GmXzgfd-RfLeG0_mmK3bfhCptgHqANs,document,0B1qO9IFXquq6N2hEZml6VlNRX1E
0B1qO9IFXquq6dHdkWW81TGhRVURUQVBvTF9lN2xzc0xhaHdr,file,0AFqO9IFXquq6Uk9PVA
1dDQbngX5wmVi9ddEC77HmEmy9nG3TiBPDHcMEWOO9Tw,document,0AFqO9IFXquq6Uk9PVA
1zBGhMYhtvTdd_PMsnUnZ-ZGRWxWOaM6m_SEEmWWkiCw,document,0B1qO9IFXquq6N2hEZml6VlNRX1E
0B1qO9IFXquq6N2hEZml6VlNRX1E,folder,0AFqO9IFXquq6Uk9PVA
1LIQeY6m2ZLdfnEFk5xjgWdfywN-Ij9b2lJmNQ9f9T-I,drawing,0B1qO9IFXquq6UlVZY2xQYmVadEk
1IF8r_ErneR3I40dbIEGrD8tJ-Oh1ljV1O6C3G5v861Q,spreadsheet,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6SDM3Q2l2NlRpVXM,file,0B1qO9IFXquq6UlVZY2xQYmVadEk
121-kNTR10ikaTTH9GQIEVRXs2uwHqAFknjpxBVEGDxI,document,0B1qO9IFXquq6UlVZY2xQYmVadEk
0B9T-02UDpVUDdmJ1elVQRmJBSGc,folder,0B9T-02UDpVUDQUY1SXVpa2xSdnM
0B9T-02UDpVUDQUY1SXVpa2xSdnM,folder,0B9T-02UDpVUDQnF2cE5oUGFBSE0
1_Ud3Wr2740-iDMnnNzQLag4WUdeSu6wqvxhHKSX2k2c,document,0AFqO9IFXquq6Uk9PVA
1WcfoGh-TEAG-er5-pQiyVBeTVtdeVc75J88qQUEHbwQ,presentation,0B1qO9IFXquq6UlVZY2xQYmVadEk
1HpOKw76hB9jiynUU1mHrxi2TX_sbBqAe6gjOxH80uj8,spreadsheet,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6bXloRmhqYkF2RHc1S1NBMmhBc1hjWmlNVURv,file,0AFqO9IFXquq6Uk9PVA
15GEGB8-iw3xMKspkdiOATq78vtIw5hhRUIBFeaOF26k,document,0B1qO9IFXquq6UlVZY2xQYmVadEk
0B1qO9IFXquq6UlVZY2xQYmVadEk,folder,0AFqO9IFXquq6Uk9PVA
0B9fpFUHuMSE-Rkp6RVNXZVdQX0U,folder,0B9fpFUHuMSE-NTZsRXFpOUJmaEk
0B1qO9IFXquq6M3h6R1dwaG8zTF9fUm5MMWpJc29IQnhzd0pR,file,0B1qO9IFXquq6aW5wQ0ticFkyemM
0B1qO9IFXquq6fms1M1JuRDNpOTVENVZIYTc4M3JFdWNJTkZGdzk1aWFHLWROTmNWVjNSdkU,folder,0AFqO9IFXquq6Uk9PVA
150vTIcKlqU8WDOoDqhn4LDP_LyMGTIpx2qEN5cdlUMs,document,0B1qO9IFXquq6flc1SWUyaFJJRkxyVWpQTTgyeXRjM1kwNHNwVWVkamVRcE80UU5kSWpDTDA
1-fLUgQQpOycjMYKpkNmXllbVq-enPyOEWz8qJzTB-PM,drawing,0B1qO9IFXquq6fms1M1JuRDNpOTVENVZIYTc4M3JFdWNJTkZGdzk1aWFHLWROTmNWVjNSdkU
1LXJQTtXQeBcybFv5hISRNUnvPLusKOkX288XZLonzv4,drawing,0B1qO9IFXquq6fms1M1JuRDNpOTVENVZIYTc4M3JFdWNJTkZGdzk1aWFHLWROTmNWVjNSdkU
1_Wv6zRrq9ZTdEl9vEN15NfbpjNVm-mSbMzb95pGlegw,drawing,0B1qO9IFXquq6fms1M1JuRDNpOTVENVZIYTc4M3JFdWNJTkZGdzk1aWFHLWROTmNWVjNSdkU
0B1qO9IFXquq6TmpQb3N2ZnFTNmhZdENrWmZGa2VfRGJtRXI0,file,0B1qO9IFXquq6fms1M1JuRDNpOTVENVZIYTc4M3JFdWNJTkZGdzk1aWFHLWROTmNWVjNSdkU
1Jx7D-1kfMZ7q7jZjplbW_OiLWub8kKxGrqQDgpeXdcA,drawing,0B1qO9IFXquq6fms1M1JuRDNpOTVENVZIYTc4M3JFdWNJTkZGdzk1aWFHLWROTmNWVjNSdkU
1aIoF2j_Q6LIHonHwzeEir8Ue7Gd3aoNTb8OMnQBb4_o,drawing,0B1qO9IFXquq6fms1M1JuRDNpOTVENVZIYTc4M3JFdWNJTkZGdzk1aWFHLWROTmNWVjNSdkU
