teamIDwinner,round,Count(SeriesPost.round)
ANA,ALCS,1
ANA,WS,1
ARI,NLCS,1
ARI,WS,1
ATL,NLCS,5
ATL,WS,1
BAL,ALCS,5
BAL,WS,3
BOS,ALCS,4
BOS,WS,7
BRO,WS,2
BSN,WS,1
CHA,ALCS,1
CHA,WS,3
CHN,WS,3
CIN,NLCS,5
CIN,WS,5
CLE,ALCS,2
CLE,WS,2
COL,NLCS,1
DET,ALCS,2
DET,WS,4
DTN,WS,1
FLO,NLCS,2
FLO,WS,2
HOU,NLCS,1
KCA,ALCS,2
KCA,WS,1
LAN,NLCS,5
LAN,WS,5
MIN,ALCS,2
MIN,WS,2
ML1,WS,1
ML4,ALCS,1
NY1,WS,7
NYA,ALCS,11
NYA,WS,27
NYN,NLCS,4
NYN,WS,2
OAK,ALCS,6
OAK,WS,4
PHA,WS,5
PHI,NLCS,5
PHI,WS,2
PIT,NLCS,2
PIT,WS,5
PRO,WS,1
SDN,NLCS,2
SFN,NLCS,2
SL4,WS,1
SLN,NLCS,5
SLN,WS,10
TBA,ALCS,1
TOR,ALCS,2
TOR,WS,2
WS1,WS,1
