yearID,MVP,MVP_Salary,salary,average_salary
1985,mattido01,95.5,455000.00,476299.45
1985,mcgeewi01,99.7,475000.00,476299.45
1986,clemero02,81.5,340000.00,417147.04
1986,schmimi01,512,2136666.00,417147.04
1987,bellge02,270,1175000.00,434729.47
1987,dawsoan01,161,700000.00,434729.47
1988,cansejo01,71.7,325000.00,453171.08
1988,gibsoki01,404,1833333.00,453171.08
1989,yountro01,227,1150000.00,506323.08
1989,mitchke01,120,610000.00,506323.08
1990,henderi01,459,2350000.00,511973.69
1990,bondsba01,166,850000.00,511973.69
1991,ripkeca01,286,2566667.00,894961.19
1991,pendlte01,195,1750000.00,894961.19
1992,eckerde01,300,3150000.00,1047520.58
1992,bondsba01,458,4800000.00,1047520.58
1993,thomafr04,114,1115000.00,976966.56
1993,bondsba01,462,4516666.00,976966.56
1994,thomafr04,262,2755000.00,1049588.56
1994,bagweje01,240,2525000.00,1049588.56
1995,vaughmo01,287,2775000.00,964979.07
1995,larkiba01,611,5900000.00,964979.07
1996,gonzaju03,723,7425000.00,1026923.87
1996,caminke01,318,3275000.00,1026923.87
1997,griffke02,646,7885532.00,1219887.86
1997,walkela01,518,6325000.00,1219887.86
1998,gonzaju03,608,7800000.00,1280844.56
1998,sosasa01,649,8325000.00,1280844.56
1999,rodriiv01,602,8950000.00,1485316.85
1999,jonesch06,281,4175000.00,1485316.85
2000,giambja01,155,3103333.00,1992984.57
2000,kentje01,301,6000000.00,1992984.57
2001,suzukic01,248,5666667.00,2279841.06
2001,bondsba01,451,10300000.00,2279841.06
2002,tejadmi01,151,3625000.00,2392526.62
2002,bondsba01,626,15000000.00,2392526.62
2003,rodrial01,854,22000000.00,2573472.95
2003,bondsba01,602,15500000.00,2573472.95
2004,guerrvl01,441,11000000.00,2491776.10
2004,bondsba01,722,18000000.00,2491776.10
2005,rodrial01,987,26000000.00,2633830.80
2005,pujolal01,417,11000000.00,2633830.80
2006,morneju01,13.6,385000.00,2828623.16
2006,howarry01,12.5,355000.00,2828623.16
2007,rodrial01,772,22708525.00,2941435.85
2007,rolliji01,271,8000000.00,2941435.85
2008,pedrodu01,14.5,457000.00,3136517.14
2008,pujolal01,442,13870949.00,3136517.14
2009,mauerjo01,320,10500000.00,3274113.01
2009,pujolal01,440,14427326.00,3274113.01
