namefirst,namelast,awardID,yearID,batting_average,RBI,HR,AB,R,H,2B,3B,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_Old
Roger,Clemens,"Triple Crown",1997,0.5000,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1
Hugh,Duffy,"Triple Crown",1894,0.4397,145,18,539,160,237,51,16,48,NULL,66,15,NULL,1,NULL,NULL,NULL,125
Tip,O'Neill,"Triple Crown",1887,0.4352,123,14,517,167,225,52,19,30,NULL,50,NULL,NULL,5,NULL,NULL,NULL,124
Nap,Lajoie,"Triple Crown",1901,0.4265,125,14,544,145,232,48,14,27,NULL,24,NULL,NULL,13,1,NULL,NULL,131
Rogers,Hornsby,"Triple Crown",1925,0.4028,143,39,504,133,203,41,10,5,3,83,39,NULL,2,16,NULL,NULL,138
Rogers,Hornsby,"Triple Crown",1922,0.4013,152,42,623,141,250,46,14,17,12,65,50,NULL,1,15,NULL,NULL,154
Ty,Cobb,"Triple Crown",1909,0.3770,107,9,573,116,216,33,10,76,NULL,48,NULL,NULL,6,24,NULL,NULL,156
Joe,Medwick,"Triple Crown",1937,0.3744,154,31,633,111,237,56,10,4,NULL,41,50,NULL,2,1,NULL,11,156
Chuck,Klein,"Triple Crown",1933,0.3680,120,28,606,101,223,44,7,15,NULL,56,36,NULL,1,4,NULL,3,152
Lou,Gehrig,"Triple Crown",1934,0.3627,165,49,579,128,210,40,6,9,5,109,31,NULL,2,0,NULL,NULL,154
Paul,Hines,"Triple Crown",1878,0.3580,50,4,257,42,92,13,4,NULL,NULL,2,10,NULL,NULL,NULL,NULL,NULL,62
Ted,Williams,"Triple Crown",1942,0.3563,137,36,522,141,186,34,5,3,2,145,51,NULL,4,0,NULL,12,150
Jimmie,Foxx,"Triple Crown",1933,0.3560,163,48,573,125,204,37,9,2,2,96,93,NULL,1,0,NULL,NULL,149
Mickey,Mantle,"Triple Crown",1956,0.3527,130,52,533,132,188,22,5,10,1,112,99,6,2,1,4,4,150
Ted,Williams,"Triple Crown",1947,0.3428,114,32,528,125,181,40,9,0,1,162,47,NULL,2,1,NULL,10,156
Carl,Yastrzemski,"Triple Crown",1967,0.3264,121,44,579,112,189,31,4,10,8,91,69,11,4,1,5,5,161
Bucky,Walters,"Triple Crown",1939,0.3250,16,1,120,16,39,8,1,1,NULL,5,12,NULL,1,5,NULL,2,40
Frank,Robinson,"Triple Crown",1966,0.3160,122,49,576,122,182,34,2,8,5,87,90,11,10,0,7,24,155
Guy,Hecker,"Triple Crown",1884,0.2975,42,4,316,53,94,14,8,0,NULL,10,NULL,NULL,2,NULL,NULL,NULL,78
Walter,Johnson,"Triple Crown",1924,0.2832,14,1,113,18,32,9,0,0,0,3,11,NULL,1,2,NULL,NULL,39
Amos,Rusie,"Triple Crown",1894,0.2796,26,3,186,20,52,5,4,5,NULL,5,24,NULL,1,NULL,NULL,NULL,56
Walter,Johnson,"Triple Crown",1918,0.2667,18,1,150,10,40,4,4,2,NULL,9,18,NULL,3,4,NULL,NULL,65
Walter,Johnson,"Triple Crown",1913,0.2612,14,2,134,12,35,5,6,2,NULL,5,14,NULL,1,1,NULL,NULL,54
Hal,Newhouser,"Triple Crown",1945,0.2569,17,0,109,9,28,5,1,0,1,7,10,NULL,0,8,NULL,1,40
Hippo,Vaughn,"Triple Crown",1918,0.2396,8,0,96,13,23,3,2,4,NULL,6,21,NULL,0,4,NULL,NULL,35
Pete,Alexander,"Triple Crown",1916,0.2391,9,0,138,10,33,7,4,1,NULL,5,15,NULL,0,3,NULL,NULL,49
Christy,Mathewson,"Triple Crown",1905,0.2362,16,2,127,13,30,5,0,2,NULL,10,NULL,NULL,3,1,NULL,NULL,44
Jake,Peavy,"Triple Crown",2007,0.2329,7,0,73,8,17,4,1,0,0,2,14,0,0,8,1,1,36
Charley,Radbourn,"Triple Crown",1884,0.2299,37,1,361,48,83,7,1,NULL,NULL,26,42,NULL,NULL,NULL,NULL,NULL,87
Pete,Alexander,"Triple Crown",1920,0.2288,14,1,118,9,27,4,1,0,0,11,26,NULL,0,6,NULL,NULL,46
Tommy,Bond,"Triple Crown",1877,0.2278,30,0,259,32,59,4,3,NULL,NULL,1,15,NULL,NULL,NULL,NULL,NULL,61
