playerID,H,AB,RBI,HR
clemero02,1,2,0,0
duffyhu01,237,539,145,18
lajoina01,232,544,125,14
hornsro01,203,504,143,39
hornsro01,250,623,152,42
cobbty01,216,573,107,9
medwijo01,237,633,154,31
kleinch01,223,606,120,28
gehrilo01,210,579,165,49
hinespa01,92,257,50,4
willite01,186,522,137,36
foxxji01,204,573,163,48
mantlmi01,188,533,130,52
willite01,181,528,114,32
cabremi01,205,622,139,44
yastrca01,189,579,121,44
waltebu01,39,120,16,1
robinfr02,182,576,122,49
johnswa01,32,113,14,1
rusieam01,52,186,26,3
johnswa01,40,150,18,1
johnswa01,35,134,14,2
newhoha01,28,109,17,0
vaughhi01,23,96,8,0
alexape01,33,138,9,0
mathech01,30,127,16,2
peavyja01,17,73,7,0
radboch01,83,361,37,1
alexape01,27,118,14,1
bondto01,59,259,30,0
goodedw01,21,93,9,1
youngcy01,32,153,17,0
clarkjo01,54,262,23,2
grovele01,22,110,17,2
grovele01,23,115,12,0
gomezle01,21,105,4,0
carltst01,23,117,8,1
koufasa01,20,113,7,0
wadderu01,20,116,10,0
alexape01,22,130,8,1
fellebo01,18,115,12,2
mathech01,20,129,11,0
vanceda01,16,106,11,2
johnsra05,12,89,8,0
gomezle01,13,99,4,0
keefeti01,23,181,8,2
koufasa01,9,118,5,0
koufasa01,7,110,7,1
santajo01,0,2,0,0
clemero02,0,4,0,0
martipe02,0,2,0,0
