teamID,Divisionwins,Leaguewins,WorldSerieswins
ALT,0,0,0
ANA,1,1,1
ARI,4,1,1
ATL,16,5,1
BAL,8,6,3
BFN,0,0,0
BFP,0,0,0
BL1,0,0,0
BL2,0,0,0
BL3,0,0,0
BL4,0,0,0
BLA,0,0,0
BLF,0,0,0
BLN,0,3,0
BLU,0,0,0
BOS,6,12,7
BR1,0,0,0
BR2,0,0,0
BR3,0,1,0
BR4,0,0,0
BRF,0,0,0
BRO,0,12,1
BRP,0,0,0
BS1,0,4,0
BS2,0,1,0
BSN,0,10,1
BSP,0,1,0
BSU,0,0,0
BUF,0,0,0
CAL,3,0,0
CH1,0,0,0
CH2,0,0,0
CHA,5,6,3
CHF,0,1,0
CHN,5,16,2
CHP,0,0,0
CHU,0,0,0
CIN,8,9,5
CL1,0,0,0
CL2,0,0,0
CL3,0,0,0
CL4,0,0,0
CL5,0,0,0
CL6,0,0,0
CLE,7,5,2
CLP,0,0,0
CN1,0,0,0
CN2,0,1,0
CN3,0,0,0
CNU,0,0,0
COL,0,1,0
DET,3,10,4
DTN,0,1,1
ELI,0,0,0
FLO,0,2,2
FW1,0,0,0
HAR,0,0,0
HOU,7,1,0
HR1,0,0,0
IN1,0,0,0
IN2,0,0,0
IN3,0,0,0
IND,0,1,0
KC1,0,0,0
KC2,0,0,0
KCA,7,2,1
KCF,0,0,0
KCN,0,0,0
KCU,0,0,0
KEO,0,0,0
LAA,4,0,0
LAN,11,9,5
LS1,0,0,0
LS2,0,1,0
LS3,0,0,0
MID,0,0,0
MIL,0,0,0
MIN,9,3,2
ML1,0,2,1
ML2,0,0,0
ML3,0,0,0
ML4,2,1,0
MLA,0,0,0
MLU,0,0,0
MON,1,0,0
NEW,0,0,0
NH1,0,0,0
NY1,0,17,7
NY2,0,0,0
NY3,0,0,0
NY4,0,1,0
NYA,16,40,27
NYN,5,4,2
NYP,0,0,0
OAK,14,6,4
PH1,0,1,0
PH2,0,0,0
PH3,0,0,0
PH4,0,1,0
PHA,0,9,5
PHI,10,7,2
PHN,0,0,0
PHP,0,0,0
PHU,0,0,0
PIT,9,9,5
PRO,0,2,1
PT1,0,0,0
PTF,0,0,0
PTP,0,0,0
RC1,0,0,0
RC2,0,0,0
RIC,0,0,0
SDN,5,2,0
SE1,0,0,0
SEA,3,0,0
SFN,6,3,0
SL1,0,0,0
SL2,0,0,0
SL3,0,0,0
SL4,0,4,1
SL5,0,0,0
SLA,0,1,0
SLF,0,0,0
SLN,10,17,10
SLU,0,1,0
SPU,0,0,0
SR1,0,0,0
SR2,0,0,0
TBA,1,1,0
TEX,3,0,0
TL1,0,0,0
TL2,0,0,0
TOR,5,2,2
TRN,0,0,0
TRO,0,0,0
WAS,0,0,0
WIL,0,0,0
WOR,0,0,0
WS1,0,3,1
WS2,0,0,0
WS3,0,0,0
WS4,0,0,0
WS5,0,0,0
WS6,0,0,0
WS7,0,0,0
WS8,0,0,0
WS9,0,0,0
WSN,0,0,0
WSU,0,0,0
