Id,Response
1,5
3,5
4,5
9,7
12,7
13,7
21,7
28,7
30,6
36,7
38,7
43,7
45,3
48,7
50,5
51,7
54,6
55,5
59,7
62,5
63,7
66,7
69,7
82,7
83,5
84,5
86,7
89,7
90,5
92,7
98,6
100,3
105,4
115,7
119,5
124,3
127,7
133,7
140,5
141,7
143,5
151,5
154,7
157,7
163,5
166,2
168,7
170,5
173,7
180,5
182,7
184,5
185,7
195,7
196,7
197,4
212,5
213,5
219,7
225,5
227,5
232,5
239,5
247,5
251,5
254,5
261,5
264,5
267,7
272,7
275,7
277,7
283,7
284,1
287,7
291,7
293,5
294,5
305,7
307,6
309,7
311,5
322,3
323,3
326,5
330,5
335,7
337,7
338,4
341,1
346,5
348,7
352,3
356,7
358,6
366,6
369,5
373,5
375,5
381,5
384,7
386,5
396,5
397,4
399,5
405,7
412,7
417,5
421,5
425,7
427,7
430,5
432,5
433,7
436,7
438,7
441,7
442,5
444,5
446,7
448,7
450,7
454,5
465,7
470,6
472,5
475,5
484,7
495,7
497,7
498,7
501,5
502,7
505,7
515,5
516,7
527,7
529,4
531,5
533,5
537,3
541,7
546,7
548,7
549,7
550,5
553,7
559,7
561,4
564,1
574,5
578,5
579,5
580,7
582,5
584,7
588,5
596,5
602,5
603,1
613,7
614,3
619,7
620,5
624,4
625,7
628,5
630,6
635,7
636,7
637,7
641,7
644,7
648,7
654,5
658,7
664,7
666,5
667,7
670,7
672,5
674,7
676,7
684,7
685,5
693,1
694,7
700,3
702,5
703,5
705,5
711,7
718,5
722,5
726,7
727,5
732,7
735,7
740,5
748,7
750,5
751,7
756,6
762,5
766,7
770,7
771,4
779,5
782,4
784,7
793,7
798,5
800,5
801,7
805,6
807,7
813,7
819,7
820,7
822,7
823,5
833,7
834,7
842,3
845,5
856,4
860,5
864,7
869,5
872,7
877,5
878,7
893,7
894,7
896,5
899,7
900,7
911,1
914,7
917,1
919,7
923,1
925,5
926,5
934,6
938,7
940,7
955,5
956,7
971,6
973,7
978,7
979,7
981,7
988,7
990,7
992,5
996,7
997,7
999,5
1000,5
1006,5
1009,1
1018,5
1025,5
1038,5
1042,7
1045,5
1046,7
1047,5
1050,5
1052,6
1054,7
1057,7
1061,3
1069,5
1071,6
1073,5
1074,7
1075,5
1083,6
1084,6
1089,4
1099,4
1103,5
1110,7
1123,7
1130,6
1135,7
1137,7
1145,7
1147,5
1152,7
1153,5
1154,7
1158,7
1166,5
1170,7
1172,5
1178,7
1179,7
1181,2
1182,5
1183,7
1191,7
1192,1
1200,1
1205,5
1207,7
1208,1
1209,5
1217,4
1223,7
1225,7
1226,5
1228,5
1230,5
1232,7
1235,7
1237,6
1257,5
1266,1
1267,5
1274,7
1277,7
1278,5
1280,7
1282,7
1293,5
1294,3
1305,7
1306,5
1311,5
1318,5
1320,7
1323,7
1325,4
1328,5
1336,4
1340,7
1341,7
1344,7
1345,7
1348,3
1358,1
1361,7
1364,5
1373,7
1377,5
1378,7
1380,5
1382,7
1383,5
1386,7
1387,1
1390,5
1395,7
1398,7
1402,7
1403,7
1405,7
1407,7
1410,1
1412,1
1419,7
1426,7
1428,7
1436,5
1437,5
1438,6
1441,7
1444,7
1448,1
1454,4
1457,5
1459,7
1463,7
1467,3
1471,6
1475,5
1476,5
1480,7
1481,2
1482,4
1489,6
1491,5
1494,7
1496,7
1500,7
1501,7
1503,5
1504,4
1505,3
1515,4
1517,5
1520,5
1521,3
1523,7
1526,7
1529,5
1530,7
1543,5
1544,7
1547,5
1550,7
1552,6
1554,5
1563,7
1574,7
1575,5
1576,6
1579,5
1582,6
1584,7
1585,7
1589,6
1596,7
1598,1
1611,7
1613,5
1615,5
1618,5
1627,6
1630,2
1638,7
1639,5
1640,7
1642,7
1645,6
1648,5
1654,5
1661,7
1662,5
1663,7
1666,5
1668,4
1670,3
1672,7
1681,5
1682,7
1683,1
1687,7
1688,7
1693,5
1694,7
1700,7
1704,5
1712,7
1716,7
1717,5
1722,6
1724,5
1738,1
1739,1
1740,7
1761,7
1763,7
1765,7
1766,5
1767,7
1771,5
1772,7
1777,7
1784,1
1799,5
1806,7
1810,1
1812,5
1814,5
1818,5
1819,7
1822,4
1823,7
1824,1
1834,5
1835,5
1844,5
1848,5
1849,7
1850,7
1851,5
1856,5
1862,1
1863,5
1872,6
1874,6
1875,7
1877,7
1900,7
1902,7
1904,5
1905,5
1908,7
1914,7
1916,1
1922,1
1933,5
1934,5
1939,5
1942,5
1947,7
1957,7
1971,7
1973,5
1974,5
1977,6
1981,5
1985,7
1987,5
1989,7
2001,4
2002,2
2007,1
2008,7
2011,5
2021,5
2034,7
2040,7
2044,3
2045,7
2048,7
2051,7
2062,5
2066,1
2068,6
2069,5
2074,7
2075,7
2078,7
2079,1
2080,5
2081,5
2084,1
2085,7
2087,7
2096,5
2102,7
2103,5
2107,7
2117,6
2118,5
2120,5
2121,5
2122,5
2130,7
2136,5
2138,7
2140,7
2143,5
2144,6
2145,5
2147,7
2150,2
2154,7
2155,1
2166,4
2169,5
2173,5
2176,1
2178,7
2179,5
2180,7
2184,7
2185,7
2188,5
2190,7
2194,5
2195,7
2198,5
2205,7
2206,7
2207,5
2212,6
