playerID,awardID,yearID,HR,(b.H/b.AB),RBI,HR
clemero02,"Triple Crown",1997,0,0.5000,0,0
duffyhu01,"Triple Crown",1894,18,0.4397,145,18
oneilti01,"Triple Crown",1887,14,0.4352,123,14
lajoina01,"Triple Crown",1901,14,0.4265,125,14
hornsro01,"Triple Crown",1925,39,0.4028,143,39
hornsro01,"Triple Crown",1922,42,0.4013,152,42
cobbty01,"Triple Crown",1909,9,0.3770,107,9
medwijo01,"Triple Crown",1937,31,0.3744,154,31
kleinch01,"Triple Crown",1933,28,0.3680,120,28
gehrilo01,"Triple Crown",1934,49,0.3627,165,49
hinespa01,"Triple Crown",1878,4,0.3580,50,4
willite01,"Triple Crown",1942,36,0.3563,137,36
foxxji01,"Triple Crown",1933,48,0.3560,163,48
mantlmi01,"Triple Crown",1956,52,0.3527,130,52
willite01,"Triple Crown",1947,32,0.3428,114,32
yastrca01,"Triple Crown",1967,44,0.3264,121,44
waltebu01,"Triple Crown",1939,1,0.3250,16,1
robinfr02,"Triple Crown",1966,49,0.3160,122,49
heckegu01,"Triple Crown",1884,4,0.2975,42,4
johnswa01,"Triple Crown",1924,1,0.2832,14,1
rusieam01,"Triple Crown",1894,3,0.2796,26,3
johnswa01,"Triple Crown",1918,1,0.2667,18,1
johnswa01,"Triple Crown",1913,2,0.2612,14,2
newhoha01,"Triple Crown",1945,0,0.2569,17,0
vaughhi01,"Triple Crown",1918,0,0.2396,8,0
alexape01,"Triple Crown",1916,0,0.2391,9,0
mathech01,"Triple Crown",1905,2,0.2362,16,2
peavyja01,"Triple Crown",2007,0,0.2329,7,0
radboch01,"Triple Crown",1884,1,0.2299,37,1
alexape01,"Triple Crown",1920,1,0.2288,14,1
bondto01,"Triple Crown",1877,0,0.2278,30,0
goodedw01,"Triple Crown",1985,1,0.2258,9,1
youngcy01,"Triple Crown",1901,0,0.2092,17,0
clarkjo01,"Triple Crown",1889,2,0.2061,23,2
gomezle01,"Triple Crown",1937,0,0.2000,4,0
grovele01,"Triple Crown",1930,2,0.2000,17,2
grovele01,"Triple Crown",1931,0,0.2000,12,0
carltst01,"Triple Crown",1972,1,0.1966,8,1
koufasa01,"Triple Crown",1965,0,0.1770,7,0
wadderu01,"Triple Crown",1905,0,0.1724,10,0
alexape01,"Triple Crown",1915,1,0.1692,8,1
fellebo01,"Triple Crown",1940,2,0.1565,12,2
mathech01,"Triple Crown",1908,0,0.1550,11,0
vanceda01,"Triple Crown",1924,2,0.1509,11,2
johnsra05,"Triple Crown",2002,0,0.1348,8,0
gomezle01,"Triple Crown",1934,0,0.1313,4,0
keefeti01,"Triple Crown",1888,2,0.1271,8,2
koufasa01,"Triple Crown",1966,0,0.0763,5,0
koufasa01,"Triple Crown",1963,1,0.0636,7,1
clemero02,"Triple Crown",1998,0,0.0000,0,0
martipe02,"Triple Crown",1999,0,0.0000,0,0
santajo01,"Triple Crown",2006,0,0.0000,0,0
