playerID,awardID,yearID,lgID,tie,notes,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,batting_average
clemero02,"Triple Crown",1997,AL,NULL,,clemero02,1997,1,TOR,AL,34,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5000
duffyhu01,"Triple Crown",1894,NL,NULL,,duffyhu01,1894,1,BSN,NL,125,125,539,160,237,51,16,18,145,48,NULL,66,15,NULL,1,NULL,NULL,NULL,125,0.4397
oneilti01,"Triple Crown",1887,AA,NULL,,oneilti01,1887,1,SL4,AA,124,124,517,167,225,52,19,14,123,30,NULL,50,NULL,NULL,5,NULL,NULL,NULL,124,0.4352
lajoina01,"Triple Crown",1901,AL,NULL,,lajoina01,1901,1,PHA,AL,131,131,544,145,232,48,14,14,125,27,NULL,24,NULL,NULL,13,1,NULL,NULL,131,0.4265
hornsro01,"Triple Crown",1925,NL,NULL,,hornsro01,1925,1,SLN,NL,138,138,504,133,203,41,10,39,143,5,3,83,39,NULL,2,16,NULL,NULL,138,0.4028
hornsro01,"Triple Crown",1922,NL,NULL,,hornsro01,1922,1,SLN,NL,154,154,623,141,250,46,14,42,152,17,12,65,50,NULL,1,15,NULL,NULL,154,0.4013
cobbty01,"Triple Crown",1909,AL,NULL,,cobbty01,1909,1,DET,AL,156,156,573,116,216,33,10,9,107,76,NULL,48,NULL,NULL,6,24,NULL,NULL,156,0.3770
medwijo01,"Triple Crown",1937,NL,NULL,,medwijo01,1937,1,SLN,NL,156,156,633,111,237,56,10,31,154,4,NULL,41,50,NULL,2,1,NULL,11,156,0.3744
kleinch01,"Triple Crown",1933,NL,NULL,,kleinch01,1933,1,PHI,NL,152,152,606,101,223,44,7,28,120,15,NULL,56,36,NULL,1,4,NULL,3,152,0.3680
gehrilo01,"Triple Crown",1934,AL,NULL,,gehrilo01,1934,1,NYA,AL,154,154,579,128,210,40,6,49,165,9,5,109,31,NULL,2,0,NULL,NULL,154,0.3627
hinespa01,"Triple Crown",1878,NL,NULL,,hinespa01,1878,1,PRO,NL,62,62,257,42,92,13,4,4,50,NULL,NULL,2,10,NULL,NULL,NULL,NULL,NULL,62,0.3580
willite01,"Triple Crown",1942,AL,NULL,,willite01,1942,1,BOS,AL,150,150,522,141,186,34,5,36,137,3,2,145,51,NULL,4,0,NULL,12,150,0.3563
foxxji01,"Triple Crown",1933,AL,NULL,,foxxji01,1933,1,PHA,AL,149,149,573,125,204,37,9,48,163,2,2,96,93,NULL,1,0,NULL,NULL,149,0.3560
mantlmi01,"Triple Crown",1956,AL,NULL,,mantlmi01,1956,1,NYA,AL,150,150,533,132,188,22,5,52,130,10,1,112,99,6,2,1,4,4,150,0.3527
willite01,"Triple Crown",1947,AL,NULL,,willite01,1947,1,BOS,AL,156,156,528,125,181,40,9,32,114,0,1,162,47,NULL,2,1,NULL,10,156,0.3428
yastrca01,"Triple Crown",1967,AL,NULL,,yastrca01,1967,1,BOS,AL,161,161,579,112,189,31,4,44,121,10,8,91,69,11,4,1,5,5,161,0.3264
waltebu01,"Triple Crown",1939,NL,NULL,,waltebu01,1939,1,CIN,NL,40,40,120,16,39,8,1,1,16,1,NULL,5,12,NULL,1,5,NULL,2,40,0.3250
robinfr02,"Triple Crown",1966,AL,NULL,,robinfr02,1966,1,BAL,AL,155,155,576,122,182,34,2,49,122,8,5,87,90,11,10,0,7,24,155,0.3160
heckegu01,"Triple Crown",1884,AA,NULL,,heckegu01,1884,1,LS2,AA,78,78,316,53,94,14,8,4,42,0,NULL,10,NULL,NULL,2,NULL,NULL,NULL,78,0.2975
johnswa01,"Triple Crown",1924,AL,NULL,,johnswa01,1924,1,WS1,AL,39,39,113,18,32,9,0,1,14,0,0,3,11,NULL,1,2,NULL,NULL,39,0.2832
rusieam01,"Triple Crown",1894,NL,NULL,,rusieam01,1894,1,NY1,NL,56,56,186,20,52,5,4,3,26,5,NULL,5,24,NULL,1,NULL,NULL,NULL,56,0.2796
johnswa01,"Triple Crown",1918,AL,NULL,,johnswa01,1918,1,WS1,AL,65,65,150,10,40,4,4,1,18,2,NULL,9,18,NULL,3,4,NULL,NULL,65,0.2667
johnswa01,"Triple Crown",1913,AL,NULL,,johnswa01,1913,1,WS1,AL,54,54,134,12,35,5,6,2,14,2,NULL,5,14,NULL,1,1,NULL,NULL,54,0.2612
newhoha01,"Triple Crown",1945,AL,NULL,,newhoha01,1945,1,DET,AL,40,40,109,9,28,5,1,0,17,0,1,7,10,NULL,0,8,NULL,1,40,0.2569
vaughhi01,"Triple Crown",1918,NL,NULL,,vaughhi01,1918,1,CHN,NL,35,35,96,13,23,3,2,0,8,4,NULL,6,21,NULL,0,4,NULL,NULL,35,0.2396
alexape01,"Triple Crown",1916,NL,NULL,,alexape01,1916,1,PHI,NL,49,49,138,10,33,7,4,0,9,1,NULL,5,15,NULL,0,3,NULL,NULL,49,0.2391
mathech01,"Triple Crown",1905,NL,NULL,,mathech01,1905,1,NY1,NL,44,44,127,13,30,5,0,2,16,2,NULL,10,NULL,NULL,3,1,NULL,NULL,44,0.2362
peavyja01,"Triple Crown",2007,NL,NULL,,peavyja01,2007,1,SDN,NL,37,36,73,8,17,4,1,0,7,0,0,2,14,0,0,8,1,1,36,0.2329
radboch01,"Triple Crown",1884,NL,NULL,,radboch01,1884,1,PRO,NL,87,87,361,48,83,7,1,1,37,NULL,NULL,26,42,NULL,NULL,NULL,NULL,NULL,87,0.2299
alexape01,"Triple Crown",1920,NL,NULL,,alexape01,1920,1,CHN,NL,46,46,118,9,27,4,1,1,14,0,0,11,26,NULL,0,6,NULL,NULL,46,0.2288
bondto01,"Triple Crown",1877,NL,NULL,,bondto01,1877,1,BSN,NL,61,61,259,32,59,4,3,0,30,NULL,NULL,1,15,NULL,NULL,NULL,NULL,NULL,61,0.2278
goodedw01,"Triple Crown",1985,NL,NULL,,goodedw01,1985,1,NYN,NL,35,35,93,11,21,2,0,1,9,0,0,5,15,0,0,9,0,1,35,0.2258
youngcy01,"Triple Crown",1901,AL,NULL,,youngcy01,1901,1,BOS,AL,45,45,153,20,32,2,5,0,17,1,NULL,6,NULL,NULL,1,3,NULL,NULL,45,0.2092
clarkjo01,"Triple Crown",1889,NL,NULL,,clarkjo01,1889,1,BSN,NL,73,73,262,36,54,9,3,2,23,8,NULL,11,59,NULL,0,NULL,NULL,NULL,73,0.2061
grovele01,"Triple Crown",1930,AL,NULL,,grovele01,1930,1,PHA,AL,50,50,110,11,22,3,2,2,17,0,0,7,46,NULL,0,4,NULL,NULL,50,0.2000
grovele01,"Triple Crown",1931,AL,NULL,,grovele01,1931,1,PHA,AL,41,41,115,8,23,3,0,0,12,0,0,3,48,NULL,0,4,NULL,NULL,41,0.2000
gomezle01,"Triple Crown",1937,AL,NULL,,gomezle01,1937,1,NYA,AL,34,34,105,8,21,2,0,0,4,1,0,5,22,NULL,0,5,NULL,NULL,34,0.2000
carltst01,"Triple Crown",1972,NL,NULL,,carltst01,1972,1,PHI,NL,41,41,117,6,23,3,1,1,8,0,0,5,31,0,1,7,0,0,41,0.1966
koufasa01,"Triple Crown",1965,NL,NULL,,koufasa01,1965,1,LAN,NL,43,43,113,4,20,2,0,0,7,0,0,10,44,0,0,3,1,2,43,0.1770
wadderu01,"Triple Crown",1905,AL,NULL,,wadderu01,1905,1,PHA,AL,46,46,116,4,20,3,1,0,10,0,NULL,4,NULL,NULL,0,6,NULL,NULL,46,0.1724
alexape01,"Triple Crown",1915,NL,NULL,,alexape01,1915,1,PHI,NL,49,49,130,9,22,3,0,1,8,0,1,6,23,NULL,0,5,NULL,NULL,49,0.1692
fellebo01,"Triple Crown",1940,AL,NULL,,fellebo01,1940,1,CLE,AL,43,43,115,7,18,5,1,2,12,0,0,8,45,NULL,0,6,NULL,1,43,0.1565
mathech01,"Triple Crown",1908,NL,NULL,,mathech01,1908,1,NY1,NL,56,56,129,11,20,2,2,0,11,0,NULL,9,NULL,NULL,2,7,NULL,NULL,56,0.1550
vanceda01,"Triple Crown",1924,NL,NULL,,vanceda01,1924,1,BRO,NL,35,35,106,7,16,0,0,2,11,0,0,10,29,NULL,1,8,NULL,NULL,35,0.1509
johnsra05,"Triple Crown",2002,NL,NULL,,johnsra05,2002,1,ARI,NL,35,34,89,4,12,3,0,0,8,0,0,3,40,0,0,6,1,3,34,0.1348
gomezle01,"Triple Crown",1934,AL,NULL,,gomezle01,1934,1,NYA,AL,38,38,99,8,13,1,0,0,4,0,0,6,30,NULL,1,13,NULL,NULL,38,0.1313
keefeti01,"Triple Crown",1888,NL,NULL,,keefeti01,1888,1,NY1,NL,51,51,181,10,23,3,0,2,8,3,NULL,4,56,NULL,0,NULL,NULL,NULL,51,0.1271
koufasa01,"Triple Crown",1966,NL,NULL,,koufasa01,1966,1,LAN,NL,41,41,118,5,9,3,0,0,5,0,0,5,57,0,0,0,1,1,41,0.0763
koufasa01,"Triple Crown",1963,NL,NULL,,koufasa01,1963,1,LAN,NL,40,40,110,3,7,0,0,1,7,0,0,6,51,0,0,7,1,2,40,0.0636
martipe02,"Triple Crown",1999,AL,NULL,,martipe02,1999,1,BOS,AL,31,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.0000
santajo01,"Triple Crown",2006,AL,NULL,,santajo01,2006,1,MIN,AL,34,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,34,0.0000
clemero02,"Triple Crown",1998,AL,NULL,,clemero02,1998,1,TOR,AL,33,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0.0000
