lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID,playerID,numMVP,numGoldGlove
1274,bondsba01,,,1964,7,24,USA,CA,Riverside,NULL,NULL,NULL,NULL,NULL,NULL,Barry,Bonds,NULL,"Barry Lamar",NULL,228,73.0,L,L,1986-05-30,2007-09-26,"Arizona State",bondsba01,bondsba01,bondb001,bondsba01,bondsba01,bondsba01,7,8
12634,schmimi01,,schmimi01h,1949,9,27,USA,OH,Dayton,NULL,NULL,NULL,NULL,NULL,NULL,Mike,Schmidt,NULL,"Michael Jack",NULL,203,74.0,R,R,1972-09-12,1989-05-28,Ohio,schmimi01,schmimi01,schmm001,schmimi01,schmimi01,schmimi01,3,10
12106,rodrial01,,,1975,7,27,USA,NY,"New York",NULL,NULL,NULL,NULL,NULL,NULL,Alex,Rodriguez,NULL,"Alexander Emmanuel",A-Rod,190,75.0,R,R,1994-07-08,NULL,,rodrial01,rodrial01,rodra001,rodrial01,rodrial01,rodrial01,3,2
8785,mantlmi01,,mantlmi01h,1931,10,20,USA,OK,Spavinaw,1995,8,13,USA,TX,Dallas,Mickey,Mantle,NULL,"Mickey Charles","The Mick,The Commerce Comet,Muscles",198,71.0,B,R,1951-04-17,1968-09-28,,mantlmi01,mantlmi01,mantm101,mantlmi01,mantlmi01,mantlmi01,3,1
11504,pujolal01,,,1980,1,16,D.R.,,"Santo Domingo",NULL,NULL,NULL,NULL,NULL,NULL,Albert,Pujols,NULL,"Jose Alberto","Prince Albert,Phat Albert, The Machine, El Hombre",210,75.0,R,R,2001-04-02,NULL,"Maple Woods CC",pujolal01,pujolal01,pujoa001,pujolal01,pujolal01,pujolal01,3,1
9039,mayswi01,,mayswi01h,1931,5,6,USA,AL,Westfield,NULL,NULL,NULL,NULL,NULL,NULL,Willie,Mays,NULL,"Willie Howard (Jr.)","Say Hey",180,71.0,R,R,1951-05-25,1973-09-09,,mayswi01,mayswi01,maysw101,mayswi01,mayswi01,mayswi01,2,12
912,benchjo01,,benchjo01h,1947,12,7,USA,OK,"Oklahoma City",NULL,NULL,NULL,NULL,NULL,NULL,Johnny,Bench,NULL,"Johnny Lee","Little General",208,73.0,R,R,1967-08-28,1983-09-29,,benchjo01,benchjo01,bencj101,benchjo01,benchjo01,benchjo01,2,10
10159,murphda05,,murphda05h,1956,3,12,USA,OR,Portland,NULL,NULL,NULL,NULL,NULL,NULL,Dale,Murphy,NULL,"Dale Bryan","The Murph",215,77.0,R,R,1976-09-13,1993-05-21,"Brigham Young",murphda05,murphda05,murpd001,murphda05,murphda05,murphda05,2,5
9973,morgajo02,,morgajo02h,1943,9,19,USA,TX,Bonham,NULL,NULL,NULL,NULL,NULL,NULL,Joe,Morgan,NULL,"Joe Leonard",NULL,160,67.0,L,R,1963-09-21,1984-09-30,,morgajo02,morgajo02,morgj001,morgajo02,morgajo02,morgajo02,2,5
11968,ripkeca01,,ripkeca01h,1960,8,24,USA,MD,"Havre De Grace",NULL,NULL,NULL,NULL,NULL,NULL,Cal,Ripken,NULL,"Calvin Edwin (Jr.)","Iron Man",225,76.0,R,R,1981-08-10,2001-10-06,,ripkeca01,ripkeca01,ripkc001,ripkeca01,ripkeca01,ripkeca01,2,2
