teamID,num_world_series_wins,num_division_titles,num_League_championships
NYA,27,16,40
SLN,10,10,17
BOS,7,6,12
NY1,7,NULL,17
LAN,5,11,9
PIT,5,9,9
CIN,5,8,9
PHA,5,NULL,9
OAK,4,14,6
DET,4,3,10
BAL,3,8,6
CHA,3,5,6
PHI,2,10,7
MIN,2,9,3
CLE,2,7,5
CHN,2,5,16
NYN,2,5,4
TOR,2,5,2
FLO,2,0,2
ATL,1,16,5
KCA,1,7,2
ARI,1,4,1
ANA,1,1,1
BRO,1,NULL,12
BSN,1,NULL,10
SL4,1,NULL,4
WS1,1,NULL,3
PRO,1,NULL,2
ML1,1,NULL,2
DTN,1,NULL,1
HOU,0,7,1
SFN,0,6,3
SDN,0,5,2
LAA,0,4,0
CAL,0,3,0
TEX,0,3,0
SEA,0,3,0
ML4,0,2,1
TBA,0,1,1
MON,0,1,0
COL,0,0,1
MIL,0,0,0
WS2,0,0,0
SE1,0,0,0
WAS,0,0,0
PH4,0,NULL,1
SLA,0,NULL,1
BR3,0,NULL,1
NY4,0,NULL,1
CN2,0,NULL,1
LS2,0,NULL,1
CL4,0,NULL,0
KC1,0,NULL,0
WS8,0,NULL,0
PT1,0,NULL,0
BL3,0,NULL,0
CL3,0,NULL,0
IN2,0,NULL,0
BR4,0,NULL,0
IN3,0,NULL,0
RIC,0,NULL,0
CL5,0,NULL,0
RC2,0,NULL,0
BL2,0,NULL,0
TL1,0,NULL,0
BFN,0,NULL,0
SR2,0,NULL,0
KC2,0,NULL,0
WS7,0,NULL,0
CL2,0,NULL,0
SL5,0,NULL,0
TL2,0,NULL,0
CL6,0,NULL,0
KCN,0,NULL,0
BS1,NULL,NULL,4
BLN,NULL,NULL,3
SLU,NULL,NULL,1
BS2,NULL,NULL,1
BSP,NULL,NULL,1
PH1,NULL,NULL,1
CHF,NULL,NULL,1
IND,NULL,NULL,1
BL4,NULL,NULL,0
BLU,NULL,NULL,0
NYP,NULL,NULL,0
WS3,NULL,NULL,0
TRN,NULL,NULL,0
NH1,NULL,NULL,0
KCF,NULL,NULL,0
CL1,NULL,NULL,0
IN1,NULL,NULL,0
ELI,NULL,NULL,0
CN1,NULL,NULL,0
BSU,NULL,NULL,0
PHP,NULL,NULL,0
BL1,NULL,NULL,0
WOR,NULL,NULL,0
PH3,NULL,NULL,0
BFP,NULL,NULL,0
PTF,NULL,NULL,0
FW1,NULL,NULL,0
ML2,NULL,NULL,0
SPU,NULL,NULL,0
LS3,NULL,NULL,0
PH2,NULL,NULL,0
BLF,NULL,NULL,0
HAR,NULL,NULL,0
CHU,NULL,NULL,0
PTP,NULL,NULL,0
BR1,NULL,NULL,0
SL1,NULL,NULL,0
BRP,NULL,NULL,0
SLF,NULL,NULL,0
NY2,NULL,NULL,0
WIL,NULL,NULL,0
WS5,NULL,NULL,0
BRF,NULL,NULL,0
LS1,NULL,NULL,0
CNU,NULL,NULL,0
BR2,NULL,NULL,0
MLA,NULL,NULL,0
SL2,NULL,NULL,0
NEW,NULL,NULL,0
WSU,NULL,NULL,0
WSN,NULL,NULL,0
CH2,NULL,NULL,0
BUF,NULL,NULL,0
NY3,NULL,NULL,0
KCU,NULL,NULL,0
CN3,NULL,NULL,0
MID,NULL,NULL,0
WS6,NULL,NULL,0
CHP,NULL,NULL,0
RC1,NULL,NULL,0
BLA,NULL,NULL,0
HR1,NULL,NULL,0
PHN,NULL,NULL,0
MLU,NULL,NULL,0
ML3,NULL,NULL,0
WS4,NULL,NULL,0
ALT,NULL,NULL,0
CLP,NULL,NULL,0
TRO,NULL,NULL,0
SR1,NULL,NULL,0
KEO,NULL,NULL,0
CH1,NULL,NULL,0
SL3,NULL,NULL,0
PHU,NULL,NULL,0
WS9,NULL,NULL,0
