,PLAYER,POSITION,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,AST,APG,TO,TOPG,AP48M,AST/TO
0,Russell Westbrook,PG,OKC,67,34.4,28.1,9.4-22.0,.426,1.3-4.3,.299,8.1-9.8,.835,574,8.6,293,4.4,12.0,1.96
1,James Harden,SG,HOU,81,36.8,27.4,8.0-18.1,.440,2.6-6.9,.375,8.8-10.2,.868,565,7.0,321,4.0,9.1,1.76
2,Kevin Durant,SF,OKC,27,33.8,25.4,8.8-17.3,.510,2.4-5.9,.403,5.4-6.3,.854,110,4.1,74,2.7,5.8,1.49
3,LeBron James,SF,CLE,69,36.1,25.3,9.0-18.5,.488,1.7-4.9,.354,5.4-7.7,.710,511,7.4,272,3.9,9.8,1.88
4,Anthony Davis,PF,NO,68,36.1,24.4,9.4-17.6,.535,0.0-0.2,.083,5.5-6.8,.805,149,2.2,95,1.4,2.9,1.57
5,Carmelo Anthony,SF,NY,40,35.7,24.2,9.0-20.2,.444,1.5-4.5,.341,4.7-5.9,.797,122,3.1,89,2.2,4.1,1.37
6,DeMarcus Cousins,PF,SAC,59,34.1,24.1,8.4-18.1,.467,0.0-0.1,.250,7.2-9.2,.782,210,3.6,254,4.3,5.0,0.83
7,Stephen Curry,PG,GS,80,32.7,23.8,8.2-16.8,.487,3.6-8.1,.443,3.9-4.2,.914,619,7.7,249,3.1,11.4,2.49
8,LaMarcus Aldridge,PF,POR,71,35.4,23.4,9.3-19.9,.466,0.5-1.5,.352,4.3-5.1,.845,124,1.7,122,1.7,2.4,1.02
9,Kobe Bryant,SF,LAL,35,34.5,22.3,7.6-20.4,.373,1.5-5.3,.293,5.6-6.9,.813,197,5.6,128,3.7,7.8,1.54
10,Blake Griffin,PF,LAC,67,35.2,21.9,8.6-17.1,.502,0.1-0.4,.400,4.6-6.4,.728,354,5.3,152,2.3,7.2,2.33
11,Kyrie Irving,PG,CLE,75,36.4,21.7,7.7-16.5,.468,2.1-5.0,.415,4.2-4.9,.863,389,5.2,186,2.5,6.8,2.09
12,Klay Thompson,SG,GS,77,31.9,21.7,7.8-16.9,.463,3.1-7.1,.439,2.9-3.3,.879,222,2.9,149,1.9,4.3,1.49
13,Dwyane Wade,SG,MIA,62,31.8,21.5,8.2-17.5,.470,0.5-1.6,.284,4.6-6.0,.768,299,4.8,209,3.4,7.3,1.43
14,Chris Bosh,PF,MIA,44,35.4,21.1,7.8-16.9,.460,1.4-3.8,.375,4.1-5.3,.772,95,2.2,95,2.2,2.9,1.00
15,Rudy Gay,SF,SAC,68,35.4,21.1,7.5-16.4,.455,1.2-3.2,.359,5.0-5.8,.858,250,3.7,183,2.7,5.0,1.37
16,Damian Lillard,PG,POR,82,35.7,21.0,7.2-16.6,.434,2.4-7.0,.343,4.2-4.9,.864,507,6.2,222,2.7,8.3,2.28
17,DeMar DeRozan,SG,TOR,60,35.0,20.1,6.8-16.5,.413,0.4-1.5,.284,6.0-7.2,.832,210,3.5,137,2.3,4.8,1.53
18,Jimmy Butler,SG,CHI,65,38.7,20.0,6.5-14.0,.462,1.1-3.0,.378,5.9-7.1,.834,212,3.3,93,1.4,4.0,2.28
19,Kevin Martin,SG,MIN,39,33.4,20.0,6.8-16.0,.427,1.9-4.9,.393,4.4-4.9,.881,89,2.3,76,1.9,3.3,1.17
20,Nikola Vucevic,C,ORL,74,34.2,19.3,8.5-16.3,.523,0.0-0.1,.333,2.2-2.9,.752,147,2.0,148,2.0,2.8,0.99
21,Gordon Hayward,SF,UTAH,76,34.4,19.3,6.4-14.3,.445,1.6-4.3,.364,4.9-6.1,.812,313,4.1,206,2.7,5.7,1.52
22,Chris Paul,PG,LAC,82,34.8,19.1,6.9-14.3,.485,1.7-4.3,.398,3.5-3.9,.900,838,10.2,190,2.3,14.1,4.41
23,Monta Ellis,PG,DAL,80,33.7,18.9,7.5-16.9,.445,1.0-3.6,.285,2.9-3.8,.752,329,4.1,198,2.5,5.9,1.66
24,Pau Gasol,PF,CHI,78,34.4,18.5,7.3-14.8,.494,0.2-0.3,.462,3.8-4.7,.803,210,2.7,158,2.0,3.8,1.33
25,Victor Oladipo,SG,ORL,72,35.7,17.9,6.6-15.1,.436,1.2-3.4,.339,3.6-4.4,.819,295,4.1,204,2.8,5.5,1.45
26,Kyle Lowry,PG,TOR,70,34.5,17.8,6.1-14.9,.412,1.9-5.6,.338,3.6-4.5,.808,473,6.8,173,2.5,9.4,2.73
27,Derrick Rose,PG,CHI,51,30.0,17.7,6.6-16.4,.405,1.5-5.3,.280,3.0-3.7,.813,251,4.9,161,3.2,7.9,1.56
28,John Wall,PG,WSH,79,35.9,17.6,6.6-14.8,.445,0.8-2.7,.300,3.6-4.6,.785,792,10.0,304,3.8,13.4,2.61
29,Marc Gasol,C,MEM,81,33.2,17.4,6.5-13.2,.494,0.0-0.2,.176,4.3-5.4,.795,307,3.8,176,2.2,5.5,1.74
30,Kemba Walker,PG,CHA,62,34.2,17.3,6.1-15.8,.385,1.4-4.5,.304,3.8-4.6,.827,318,5.1,100,1.6,7.2,3.18
31,Dirk Nowitzki,PF,DAL,77,29.6,17.3,6.3-13.8,.459,1.4-3.6,.380,3.3-3.8,.882,143,1.9,82,1.1,3.0,1.74
32,Brook Lopez,C,BKN,72,29.2,17.2,7.0-13.7,.513,0.0-0.1,.100,3.1-3.8,.814,50,0.7,104,1.4,1.1,0.48
33,Tobias Harris,SF,ORL,68,34.8,17.1,6.5-14.0,.466,1.3-3.5,.364,2.8-3.6,.788,124,1.8,115,1.7,2.5,1.08
34,Eric Bledsoe,PG,PHX,81,34.6,17.0,5.8-12.9,.447,1.1-3.4,.324,4.4-5.4,.800,493,6.1,274,3.4,8.5,1.80
35,Brandon Knight,PG,MIL/PHX,63,32.3,17.0,6.0-14.1,.422,2.0-5.1,.389,3.1-3.5,.874,330,5.2,189,3.0,7.8,1.75
36,Andrew Wiggins,SG,MIN,82,36.2,16.9,6.1-13.9,.437,0.5-1.5,.310,4.3-5.7,.760,170,2.1,177,2.2,2.7,0.96
37,Tony Wroten,SG,PHI,30,29.8,16.9,5.8-14.5,.403,1.2-4.7,.261,4.0-6.0,.667,157,5.2,113,3.8,8.4,1.39
38,Paul Millsap,PF,ATL,73,32.7,16.7,6.1-12.7,.476,1.1-3.0,.356,3.5-4.6,.757,223,3.1,166,2.3,4.5,1.34
39,Al Jefferson,C,CHA,65,30.6,16.6,7.5-15.5,.481,0.0-0.1,.400,1.7-2.5,.655,113,1.7,68,1.0,2.7,1.66
40,Tyreke Evans,SG,NO,79,34.1,16.6,6.6-14.7,.447,0.9-2.9,.304,2.6-3.7,.694,521,6.6,246,3.1,9.3,2.12
41,Kawhi Leonard,SF,SA,64,31.8,16.5,6.2-12.8,.479,1.0-3.0,.349,3.2-3.9,.802,161,2.5,97,1.5,3.8,1.66
42,Isaiah Thomas,PG,BOS/PHX,67,25.8,16.4,5.0-11.9,.421,1.9-5.2,.373,4.5-5.2,.868,284,4.2,143,2.1,7.9,1.99
43,Kevin Love,PF,CLE,75,33.8,16.4,5.5-12.7,.434,1.9-5.2,.367,3.4-4.3,.804,168,2.2,122,1.6,3.2,1.38
44,J.J. Redick,SG,LAC,78,30.9,16.4,5.7-12.0,.477,2.6-5.9,.437,2.3-2.6,.901,137,1.8,95,1.2,2.7,1.44
45,Goran Dragic,SG,MIA/PHX,78,33.8,16.3,6.4-12.8,.501,1.2-3.3,.347,2.3-3.0,.774,350,4.5,173,2.2,6.4,2.02
46,Darren Collison,PG,SAC,45,34.8,16.1,5.8-12.2,.473,1.3-3.6,.373,3.2-4.1,.788,252,5.6,112,2.5,7.7,2.25
47,Zach Randolph,PF,MEM,71,32.5,16.1,6.4-13.1,.487,0.1-0.3,.350,3.2-4.2,.765,153,2.2,156,2.2,3.2,0.98
48,George Hill,PG,IND,43,29.5,16.1,5.9-12.4,.477,1.6-4.5,.358,2.6-3.3,.790,220,5.1,69,1.6,8.3,3.19
49,Derrick Favors,PF,UTAH,74,30.8,16.0,6.5-12.4,.525,0.0-0.1,.167,3.0-4.5,.669,112,1.5,121,1.6,2.4,0.93
50,Wesley Matthews,SG,POR,60,33.7,15.9,5.6-12.5,.448,2.9-7.4,.389,1.8-2.4,.752,139,2.3,81,1.4,3.3,1.72
51,Jeff Teague,PG,ATL,73,30.5,15.9,5.6-12.2,.460,1.0-2.8,.343,3.8-4.4,.862,513,7.0,205,2.8,11.1,2.50
52,Greg Monroe,C,DET,69,31.0,15.9,6.1-12.4,.496,0.0-0.0,.000,3.7-4.9,.750,142,2.1,149,2.2,3.2,0.95
53,Mike Conley,PG,MEM,70,31.8,15.8,5.6-12.6,.446,1.5-4.0,.386,3.1-3.6,.859,375,5.4,156,2.2,8.1,2.40
54,Jamal Crawford,SG,LAC,64,26.6,15.8,5.2-13.1,.396,1.9-5.7,.327,3.5-3.9,.901,158,2.5,92,1.4,4.5,1.72
55,Dwight Howard,C,HOU,41,29.8,15.8,6.1-10.3,.593,0.0-0.0,.500,3.5-6.6,.528,50,1.2,115,2.8,2.0,0.43
56,Chandler Parsons,SF,DAL,66,33.1,15.7,5.8-12.6,.462,2.0-5.3,.380,2.1-2.9,.720,161,2.4,96,1.5,3.5,1.68
57,Louis Williams,SG,TOR,80,25.2,15.5,4.7-11.6,.404,1.9-5.6,.340,4.3-4.9,.861,164,2.1,101,1.3,3.9,1.62
58,Enes Kanter,C,OKC/UTAH,75,28.5,15.5,6.4-12.4,.519,0.2-0.6,.356,2.4-3.1,.782,55,0.7,145,1.9,1.2,0.38
59,Brandon Jennings,PG,DET,41,28.6,15.4,5.3-13.2,.401,1.9-5.1,.360,2.9-3.5,.839,272,6.6,90,2.2,11.1,3.02
60,Markieff Morris,PF,PHX,82,31.5,15.3,6.2-13.4,.465,0.7-2.2,.318,2.2-2.8,.763,192,2.3,170,2.1,3.6,1.13
61,Bradley Beal,SG,WSH,63,33.4,15.3,5.8-13.5,.427,1.7-4.1,.409,2.1-2.6,.783,194,3.1,123,2.0,4.4,1.58
62,Ty Lawson,PG,DEN,75,35.5,15.2,5.4-12.3,.436,0.9-2.7,.341,3.5-4.8,.730,720,9.6,185,2.5,13.0,3.89
63,Al Horford,PF,ATL,76,30.5,15.2,6.8-12.7,.538,0.1-0.5,.306,1.4-1.9,.759,244,3.2,100,1.3,5.1,2.44
64,Jeff Green,SF,BOS/MEM,78,31.5,15.0,5.3-12.4,.430,1.2-3.7,.332,3.1-3.7,.833,134,1.7,108,1.4,2.6,1.24
65,Andrea Bargnani,C,NY,29,27.1,14.8,5.7-12.4,.454,0.5-1.4,.366,3.0-3.7,.813,46,1.6,42,1.4,2.8,1.10
66,Jrue Holiday,PG,NO,40,32.6,14.8,6.0-13.4,.446,1.3-3.4,.378,1.6-1.9,.855,274,6.9,91,2.3,10.1,3.01
67,Michael Carter-Williams,PG,MIL/PHI,66,32.6,14.6,5.5-13.9,.396,0.5-2.3,.235,3.1-4.4,.694,442,6.7,253,3.8,9.9,1.75
68,Reggie Jackson,PG,DET/OKC,77,29.5,14.5,5.6-12.9,.434,0.9-3.1,.299,2.4-2.8,.830,462,6.0,186,2.4,9.8,2.48
69,Joe Johnson,SF,BKN,80,34.9,14.4,5.6-12.8,.435,1.5-4.2,.359,1.8-2.2,.801,292,3.7,137,1.7,5.0,2.13
70,Tony Parker,PG,SA,68,28.7,14.4,5.9-12.2,.486,0.6-1.3,.427,1.9-2.4,.783,335,4.9,146,2.1,8.2,2.29
71,Serge Ibaka,PF,OKC,64,33.1,14.3,5.8-12.3,.476,1.2-3.2,.376,1.4-1.7,.836,55,0.9,97,1.5,1.2,0.57
72,Mo Williams,PG,MIN/CHA,68,29.1,14.2,5.0-12.6,.397,1.8-5.1,.342,2.4-2.8,.872,424,6.2,172,2.5,10.3,2.47
73,Thaddeus Young,SF,MIN/BKN,76,32.0,14.1,5.9-12.7,.466,0.5-1.5,.330,1.7-2.6,.655,173,2.3,117,1.5,3.4,1.48
74,Luol Deng,SF,MIA,72,33.6,14.0,5.1-10.9,.469,1.1-3.1,.355,2.7-3.5,.761,139,1.9,108,1.5,2.8,1.29
75,Wilson Chandler,SF,DEN,78,31.7,13.9,5.4-12.5,.429,1.8-5.2,.342,1.4-1.8,.775,134,1.7,110,1.4,2.6,1.22
76,Avery Bradley,PG,BOS,77,31.5,13.9,5.6-13.2,.428,1.6-4.6,.352,1.0-1.3,.790,135,1.8,109,1.4,2.7,1.24
77,Tim Duncan,C,SA,77,28.9,13.9,5.4-10.6,.512,0.0-0.1,.286,3.0-4.0,.740,230,3.0,131,1.7,5.0,1.76
78,Alec Burks,SG,UTAH,27,33.3,13.9,4.5-11.1,.403,1.0-2.5,.382,3.9-4.8,.822,82,3.0,52,1.9,4.4,1.58
79,Andre Drummond,C,DET,82,30.5,13.8,6.0-11.7,.514,0.0-0.0,.000,1.7-4.5,.389,55,0.7,120,1.5,1.1,0.46
80,Ryan Anderson,PF,NO,61,27.5,13.7,4.8-12.0,.399,2.0-5.9,.340,2.1-2.5,.854,55,0.9,62,1.0,1.6,0.89
81,Shabazz Muhammad,SF,MIN,38,22.8,13.5,5.1-10.4,.489,0.5-1.3,.392,2.7-3.8,.717,44,1.2,35,0.9,2.4,1.26
82,Robert Covington,SF,PHI,70,27.9,13.5,4.3-10.8,.395,2.4-6.4,.374,2.5-3.1,.820,105,1.5,128,1.8,2.6,0.82
83,C.J. Miles,SG,IND,70,26.3,13.5,4.7-11.8,.398,2.2-6.4,.345,1.9-2.3,.807,75,1.1,73,1.0,2.0,1.03
84,Eric Gordon,SG,NO,61,33.1,13.4,4.7-11.4,.411,2.3-5.2,.448,1.8-2.2,.805,229,3.8,122,2.0,5.4,1.88
85,Nick Young,SF,LAL,42,23.8,13.4,4.1-11.3,.366,2.0-5.4,.369,3.1-3.5,.892,41,1.0,44,1.0,2.0,0.93
86,Khris Middleton,SF,MIL,79,30.1,13.4,5.1-11.0,.467,1.4-3.4,.407,1.7-2.0,.859,182,2.3,113,1.4,3.7,1.61
87,Jared Sullinger,PF,BOS,58,27.0,13.3,5.4-12.2,.439,0.9-3.2,.283,1.7-2.2,.744,134,2.3,78,1.3,4.1,1.72
88,Arron Afflalo,SG,DEN/POR,78,32.1,13.3,4.8-11.3,.424,1.5-4.3,.354,2.1-2.5,.843,129,1.7,116,1.5,2.5,1.11
89,Deron Williams,PG,BKN,68,31.1,13.0,4.4-11.3,.387,1.3-3.5,.367,3.0-3.5,.834,448,6.6,154,2.3,10.2,2.91
90,Trey Burke,PG,UTAH,76,30.1,12.8,4.9-13.2,.368,1.6-5.1,.318,1.4-1.9,.752,328,4.3,124,1.6,6.9,2.65
91,Trevor Ariza,SF,HOU,82,35.7,12.8,4.5-11.1,.402,2.4-6.8,.350,1.5-1.7,.853,209,2.5,141,1.7,3.4,1.48
92,Kentavious Caldwell-Pope,SG,DET,82,31.5,12.7,4.8-11.9,.401,1.9-5.4,.345,1.3-1.9,.696,109,1.3,94,1.1,2.0,1.16
93,Giannis Antetokounmpo,SF,MIL,81,31.4,12.7,4.7-9.6,.491,0.1-0.5,.159,3.2-4.3,.741,207,2.6,173,2.1,3.9,1.20
94,Rodney Stuckey,PG,IND,71,26.4,12.6,4.7-10.6,.440,0.8-2.0,.390,2.5-3.0,.819,219,3.1,118,1.7,5.6,1.86
95,DeMarre Carroll,SF,ATL,70,31.3,12.6,4.5-9.3,.487,1.7-4.3,.395,1.8-2.6,.702,118,1.7,75,1.1,2.6,1.57
